viersteller;vierstellername;Anzahl BA;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
5-029;Andere Operationen an Schädel, Gehirn und Hirnhäuten;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,50;0,00;0,00;0,00;0,00
5-030;Zugang zum kraniozervikalen Übergang und zur Halswirbelsäule;1216;0;0;0;0;2;2;6;30;79;121;235;250;180;112;70;64;46;13;6;0;0,00;0,00;0,00;0,00;0,0016;0,0016;0,0049;0,0247;0,065;0,0995;0,1933;0,2056;0,148;0,0921;0,0576;0,0526;0,0378;0,0107;0,0049;0,00
5-031;Zugang zur Brustwirbelsäule;111;0;0;0;0;2;0;2;3;4;7;2;10;17;10;10;23;14;5;1;1;0,00;0,00;0,00;0,00;0,018;0,00;0,018;0,027;0,036;0,0631;0,018;0,0901;0,1532;0,0901;0,0901;0,2072;0,1261;0,045;0,009;0,009
5-032;Zugang zur Lendenwirbelsäule, zum Os sacrum und zum Os coccygis;8635;0;0;0;0;13;67;195;257;331;499;708;961;884;886;859;1272;1164;425;101;13;0,00;0,00;0,00;0,00;0,0015;0,0078;0,0226;0,0298;0,0383;0,0578;0,082;0,1113;0,1024;0,1026;0,0995;0,1473;0,1348;0,0492;0,0117;0,0015
5-033;Inzision des Spinalkanals;534;0;0;0;0;0;3;6;10;12;17;46;60;54;49;64;106;71;27;8;1;0,00;0,00;0,00;0,00;0,00;0,0056;0,0112;0,0187;0,0225;0,0318;0,0861;0,1124;0,1011;0,0918;0,1199;0,1985;0,133;0,0506;0,015;0,0019
5-034;Inzision von Rückenmark und Rückenmarkhäuten;5;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,00;0,20;0,20;0,20;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,00
5-035;Exzision und Destruktion von erkranktem Gewebe des Rückenmarkes und der Rückenmarkhäute;212;0;0;0;0;1;0;0;2;2;4;19;23;27;20;33;33;33;9;5;1;0,00;0,00;0,00;0,00;0,0047;0,00;0,00;0,0094;0,0094;0,0189;0,0896;0,1085;0,1274;0,0943;0,1557;0,1557;0,1557;0,0425;0,0236;0,0047
5-036;Plastische Operationen an Rückenmark und Rückenmarkhäuten;455;0;0;0;0;1;1;9;5;12;23;34;48;45;46;38;72;75;40;5;1;0,00;0,00;0,00;0,00;0,0022;0,0022;0,0198;0,011;0,0264;0,0505;0,0747;0,1055;0,0989;0,1011;0,0835;0,1582;0,1648;0,0879;0,011;0,0022
5-037;Operationen an intraspinalen Blutgefäßen;202;0;0;0;0;0;0;8;5;8;6;25;24;18;20;21;29;22;13;3;0;0,00;0,00;0,00;0,00;0,00;0,00;0,0396;0,0248;0,0396;0,0297;0,1238;0,1188;0,0891;0,099;0,104;0,1436;0,1089;0,0644;0,0149;0,00
5-038;Operationen am spinalen Liquorsystem;435;0;0;0;0;3;3;13;7;16;23;25;56;59;40;59;59;54;16;2;0;0,00;0,00;0,00;0,00;0,0069;0,0069;0,0299;0,0161;0,0368;0,0529;0,0575;0,1287;0,1356;0,092;0,1356;0,1356;0,1241;0,0368;0,0046;0,00
5-039;Andere Operationen an Rückenmark und Rückenmarkstrukturen;382;0;0;0;0;4;1;9;16;7;28;35;57;50;43;41;47;32;12;0;0;0,00;0,00;0,00;0,00;0,0105;0,0026;0,0236;0,0419;0,0183;0,0733;0,0916;0,1492;0,1309;0,1126;0,1073;0,123;0,0838;0,0314;0,00;0,00
5-040;Inzision von Nerven;10;0;0;0;0;0;0;0;0;2;0;3;1;0;0;0;2;1;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,30;0,10;0,00;0,00;0,00;0,20;0,10;0,00;0,10;0,00
5-041;Exzision und Destruktion von erkranktem Gewebe von Nerven;248;0;0;0;0;2;10;4;8;8;21;25;41;35;30;14;25;19;3;3;0;0,00;0,00;0,00;0,00;0,0081;0,0403;0,0161;0,0323;0,0323;0,0847;0,1008;0,1653;0,1411;0,121;0,0565;0,1008;0,0766;0,0121;0,0121;0,00
5-042;Exzision eines Nerven zur Transplantation;7;0;0;0;0;0;1;0;1;0;1;1;0;1;0;0;0;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0,1429;0,00;0,1429;0,00;0,1429;0,1429;0,00;0,1429;0,00;0,00;0,00;0,1429;0,1429;0,00;0,00
5-043;Sympathektomie;29;0;0;0;0;6;6;4;6;1;1;3;0;2;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,2069;0,2069;0,1379;0,2069;0,0345;0,0345;0,1034;0,00;0,069;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-044;Epineurale Naht eines Nerven und Nervenplexus, primär;15;0;0;0;0;1;2;1;0;0;2;0;1;2;2;0;1;1;0;1;1;0,00;0,00;0,00;0,00;0,0667;0,1333;0,0667;0,00;0,00;0,1333;0,00;0,0667;0,1333;0,1333;0,00;0,0667;0,0667;0,00;0,0667;0,0667
5-045;Interfaszikuläre Naht eines Nerven und Nervenplexus, primär;4;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,25;0,00;0,00;0,00
5-046;Epineurale Naht eines Nerven und Nervenplexus, sekundär;5;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,20;0,00;0,20;0,00;0,00;0,20;0,20;0,00;0,00;0,00;0,00;0,00
5-047;Interfaszikuläre Naht eines Nerven und Nervenplexus, sekundär;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00
5-048;Epineurale Naht eines Nerven und Nervenplexus mit Transplantation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-049;Interfaszikuläre Naht eines Nerven und Nervenplexus mit Transplantation;4;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,00;0,25;0,25;0,00;0,00;0,00;0,00;0,00;0,25;0,00;0,00;0,00
5-04a;Perkutane Sympathikolyse mit Steuerung durch bildgebende Verfahren;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
5-050;Epineurale Naht eines Nerven und Nervenplexus mit Transposition, primär;4;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,25;0,25;0,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-051;Interfaszikuläre Naht eines Nerven und Nervenplexus mit Transposition, primär;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-052;Epineurale Naht eines Nerven und Nervenplexus mit Transposition, sekundär;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00
5-053;Interfaszikuläre Naht eines Nerven und Nervenplexus mit Transposition, sekundär;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-054;Epineurale Naht eines Nerven und Nervenplexus mit Transplantation und Transposition;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00
5-055;Interfaszikuläre Naht eines Nerven und Nervenplexus mit Transplantation und Transposition;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
5-056;Neurolyse und Dekompression eines Nerven;2467;0;0;6;15;83;123;110;98;101;107;175;232;214;200;158;250;286;174;100;35;0,00;0,00;0,0024;0,0061;0,0336;0,0499;0,0446;0,0397;0,0409;0,0434;0,0709;0,094;0,0867;0,0811;0,064;0,1013;0,1159;0,0705;0,0405;0,0142
5-057;Neurolyse und Dekompression eines Nerven mit Transposition;374;0;0;0;1;29;34;38;33;26;33;31;24;19;27;16;22;24;8;6;3;0,00;0,00;0,00;0,0027;0,0775;0,0909;0,1016;0,0882;0,0695;0,0882;0,0829;0,0642;0,0508;0,0722;0,0428;0,0588;0,0642;0,0214;0,016;0,008
5-058;Andere Rekonstruktion eines Nerven und Nervenplexus;6;0;0;0;0;0;0;1;0;0;0;1;0;1;2;0;0;1;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,1667;0,00;0,00;0,00;0,1667;0,00;0,1667;0,3333;0,00;0,00;0,1667;0,00;0,00;0,00
5-059;Andere Operationen an Nerven und Ganglien;174;0;0;0;0;0;3;7;10;3;1;14;16;13;20;30;32;22;3;0;0;0,00;0,00;0,00;0,00;0,00;0,0172;0,0402;0,0575;0,0172;0,0057;0,0805;0,092;0,0747;0,1149;0,1724;0,1839;0,1264;0,0172;0,00;0,00
5-060;Inzision im Gebiet der Schilddrüse;23;0;0;0;0;1;0;0;0;0;3;4;2;4;2;3;3;1;0;0;0;0,00;0,00;0,00;0,00;0,0435;0,00;0,00;0,00;0,00;0,1304;0,1739;0,087;0,1739;0,087;0,1304;0,1304;0,0435;0,00;0,00;0,00
5-061;Hemithyreoidektomie;333;0;0;0;0;3;5;10;22;30;50;45;53;46;28;17;16;5;3;0;0;0,00;0,00;0,00;0,00;0,009;0,015;0,03;0,0661;0,0901;0,1502;0,1351;0,1592;0,1381;0,0841;0,0511;0,048;0,015;0,009;0,00;0,00
5-062;Andere partielle Schilddrüsenresektion;441;0;0;0;0;5;7;17;31;20;43;73;76;59;30;38;28;11;3;0;0;0,00;0,00;0,00;0,00;0,0113;0,0159;0,0385;0,0703;0,0454;0,0975;0,1655;0,1723;0,1338;0,068;0,0862;0,0635;0,0249;0,0068;0,00;0,00
5-063;Thyreoidektomie;748;0;0;0;0;3;8;22;29;48;82;103;106;91;71;80;62;36;7;0;0;0,00;0,00;0,00;0,00;0,004;0,0107;0,0294;0,0388;0,0642;0,1096;0,1377;0,1417;0,1217;0,0949;0,107;0,0829;0,0481;0,0094;0,00;0,00
5-064;Operationen an der Schilddrüse durch Sternotomie;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-065;Exzision des Ductus thyreoglossus;216;1;10;14;12;14;17;23;16;11;14;21;21;15;14;5;3;4;1;0;0;0,0046;0,0463;0,0648;0,0556;0,0648;0,0787;0,1065;0,0741;0,0509;0,0648;0,0972;0,0972;0,0694;0,0648;0,0231;0,0139;0,0185;0,0046;0,00;0,00
5-066;Partielle Nebenschilddrüsenresektion;9;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;4;1;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1111;0,00;0,00;0,00;0,3333;0,4444;0,1111;0,00;0,00;0,00
5-067;Parathyreoidektomie;12;0;0;0;0;0;0;1;0;0;1;0;3;1;2;0;3;1;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,0833;0,00;0,00;0,0833;0,00;0,25;0,0833;0,1667;0,00;0,25;0,0833;0,00;0,00;0,00
5-068;Operationen an der Nebenschilddrüse durch Sternotomie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-069;Andere Operationen an Schilddrüse und Nebenschilddrüsen;1303;0;0;0;1;6;18;38;58;84;147;205;200;175;110;112;96;43;10;0;0;0,00;0,00;0,00;0,0008;0,0046;0,0138;0,0292;0,0445;0,0645;0,1128;0,1573;0,1535;0,1343;0,0844;0,086;0,0737;0,033;0,0077;0,00;0,00
5-070;Exploration der (Umgebung der) Nebenniere;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-071;Partielle Adrenalektomie;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
5-072;Adrenalektomie;21;0;0;0;0;0;0;0;0;0;2;0;1;7;5;3;1;2;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0952;0,00;0,0476;0,3333;0,2381;0,1429;0,0476;0,0952;0,00;0,00;0,00
5-073;Andere Operationen an der Nebenniere;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
5-074;Exzision und Resektion von erkranktem Gewebe des Corpus pineale;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-075;Exzision und Resektion von erkranktem Gewebe der Hypophyse;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,50;0,00;0,00;0,00;0,00
5-076;Andere Operationen an der Hypophyse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-077;Exzision und Resektion des Thymus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-078;Andere Operationen am Thymus;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
5-079;Operationen an anderen endokrinen Drüsen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-080;Inzision der Tränendrüse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-081;Exzision von (erkranktem) Gewebe der Tränendrüse;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
5-082;Andere Operationen an der Tränendrüse;8;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;3;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,125;0,00;0,125;0,125;0,125;0,375;0,00;0,125;0,00
5-084;Inzision von Tränensack und sonstigen Tränenwegen;39;0;0;0;0;0;0;1;0;1;4;4;2;3;4;2;2;9;2;4;1;0,00;0,00;0,00;0,00;0,00;0,00;0,0256;0,00;0,0256;0,1026;0,1026;0,0513;0,0769;0,1026;0,0513;0,0513;0,2308;0,0513;0,1026;0,0256
5-085;Exzision von erkranktem Gewebe an Tränensack und sonstigen Tränenwegen;70;0;1;0;0;0;1;2;1;1;4;9;5;4;8;6;6;10;7;5;0;0,00;0,0143;0,00;0,00;0,00;0,0143;0,0286;0,0143;0,0143;0,0571;0,1286;0,0714;0,0571;0,1143;0,0857;0,0857;0,1429;0,10;0,0714;0,00
5-086;Rekonstruktion des Tränenkanals und Tränenpunktes;550;0;12;3;1;2;4;4;2;6;9;8;18;22;25;32;98;101;96;68;39;0,00;0,0218;0,0055;0,0018;0,0036;0,0073;0,0073;0,0036;0,0109;0,0164;0,0145;0,0327;0,04;0,0455;0,0582;0,1782;0,1836;0,1745;0,1236;0,0709
5-087;Dakryozystorhinostomie;340;0;6;1;0;4;6;8;4;14;21;25;21;28;34;32;50;46;22;14;4;0,00;0,0176;0,0029;0,00;0,0118;0,0176;0,0235;0,0118;0,0412;0,0618;0,0735;0,0618;0,0824;0,10;0,0941;0,1471;0,1353;0,0647;0,0412;0,0118
5-088;Andere Rekonstruktion der Tränenwege;208;0;11;4;0;4;4;4;2;8;12;4;12;19;25;16;19;36;18;6;4;0,00;0,0529;0,0192;0,00;0,0192;0,0192;0,0192;0,0096;0,0385;0,0577;0,0192;0,0577;0,0913;0,1202;0,0769;0,0913;0,1731;0,0865;0,0288;0,0192
5-089;Andere Operationen an den Tränenwegen;8;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;2;1;1;0;1;0,00;0,00;0,00;0,00;0,00;0,125;0,00;0,00;0,00;0,00;0,25;0,00;0,00;0,00;0,00;0,25;0,125;0,125;0,00;0,125
5-090;Inzision des (erkrankten) Augenlides;14;0;0;1;0;1;0;2;1;0;0;0;1;0;3;0;3;1;1;0;0;0,00;0,00;0,0714;0,00;0,0714;0,00;0,1429;0,0714;0,00;0,00;0,00;0,0714;0,00;0,2143;0,00;0,2143;0,0714;0,0714;0,00;0,00
5-091;Exzision und Destruktion von (erkranktem) Gewebe des Augenlides;778;0;6;1;5;4;1;5;11;7;12;26;27;41;54;84;138;150;110;66;30;0,00;0,0077;0,0013;0,0064;0,0051;0,0013;0,0064;0,0141;0,009;0,0154;0,0334;0,0347;0,0527;0,0694;0,108;0,1774;0,1928;0,1414;0,0848;0,0386
5-092;Operationen an Kanthus und Epikanthus;480;0;0;0;0;0;0;0;5;0;6;5;7;18;20;33;96;110;93;57;30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0104;0,00;0,0125;0,0104;0,0146;0,0375;0,0417;0,0688;0,20;0,2292;0,1938;0,1188;0,0625
5-093;Korrekturoperation bei Entropium und Ektropium;1303;0;0;0;0;0;1;0;8;0;9;9;20;42;46;75;242;298;278;185;90;0,00;0,00;0,00;0,00;0,00;0,0008;0,00;0,0061;0,00;0,0069;0,0069;0,0153;0,0322;0,0353;0,0576;0,1857;0,2287;0,2134;0,142;0,0691
5-094;Korrekturoperation bei Blepharoptosis;540;0;1;5;0;7;3;0;4;3;4;9;13;37;63;38;132;122;67;26;6;0,00;0,0019;0,0093;0,00;0,013;0,0056;0,00;0,0074;0,0056;0,0074;0,0167;0,0241;0,0685;0,1167;0,0704;0,2444;0,2259;0,1241;0,0481;0,0111
5-095;Naht des Augenlides;462;0;1;3;1;1;3;0;1;1;4;8;24;36;44;37;94;82;69;37;16;0,00;0,0022;0,0065;0,0022;0,0022;0,0065;0,00;0,0022;0,0022;0,0087;0,0173;0,0519;0,0779;0,0952;0,0801;0,2035;0,1775;0,1494;0,0801;0,0346
5-096;Andere Rekonstruktion der Augenlider;1253;0;0;0;4;1;3;0;7;7;10;22;28;66;77;123;256;258;197;119;75;0,00;0,00;0,00;0,0032;0,0008;0,0024;0,00;0,0056;0,0056;0,008;0,0176;0,0223;0,0527;0,0615;0,0982;0,2043;0,2059;0,1572;0,095;0,0599
5-097;Blepharoplastik;1137;0;0;3;0;2;3;1;4;3;22;43;82;119;137;145;225;179;118;33;18;0,00;0,00;0,0026;0,00;0,0018;0,0026;0,0009;0,0035;0,0026;0,0193;0,0378;0,0721;0,1047;0,1205;0,1275;0,1979;0,1574;0,1038;0,029;0,0158
5-098;Vertikale Lidverlängerung;23;0;0;0;0;0;0;0;0;0;0;2;1;1;3;6;2;4;2;2;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,087;0,0435;0,0435;0,1304;0,2609;0,087;0,1739;0,087;0,087;0,00
5-099;Andere Operationen am Augenlid;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;4;1;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,125;0,00;0,00;0,125;0,50;0,125;0,125;0,00
5-10a;Verstärkende Eingriffe an einem geraden Augenmuskel;71;0;0;14;7;6;3;0;5;2;3;5;6;2;1;3;6;7;1;0;0;0,00;0,00;0,1972;0,0986;0,0845;0,0423;0,00;0,0704;0,0282;0,0423;0,0704;0,0845;0,0282;0,0141;0,0423;0,0845;0,0986;0,0141;0,00;0,00
5-10b;Schwächende Eingriffe an einem geraden Augenmuskel;64;0;0;12;9;9;5;2;6;2;3;2;5;0;1;2;4;2;0;0;0;0,00;0,00;0,1875;0,1406;0,1406;0,0781;0,0313;0,0938;0,0313;0,0469;0,0313;0,0781;0,00;0,0156;0,0313;0,0625;0,0313;0,00;0,00;0,00
5-10c;Chirurgie der Abrollstrecke (Faden-Operation, Myopexie);51;0;9;24;6;2;0;1;2;1;1;2;0;2;1;0;0;0;0;0;0;0,00;0,1765;0,4706;0,1176;0,0392;0,00;0,0196;0,0392;0,0196;0,0196;0,0392;0,00;0,0392;0,0196;0,00;0,00;0,00;0,00;0,00;0,00
5-10d;Transposition eines geraden Augenmuskels;35;0;0;5;4;1;0;2;5;1;2;1;4;0;1;2;3;3;1;0;0;0,00;0,00;0,1429;0,1143;0,0286;0,00;0,0571;0,1429;0,0286;0,0571;0,0286;0,1143;0,00;0,0286;0,0571;0,0857;0,0857;0,0286;0,00;0,00
5-10e;Andere Operationen an den geraden Augenmuskeln;18;0;0;2;6;0;0;1;0;3;2;1;0;0;0;1;2;0;0;0;0;0,00;0,00;0,1111;0,3333;0,00;0,00;0,0556;0,00;0,1667;0,1111;0,0556;0,00;0,00;0,00;0,0556;0,1111;0,00;0,00;0,00;0,00
5-10f;Verstärkende Eingriffe an einem schrägen Augenmuskel;8;0;1;1;3;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0,00;0,125;0,125;0,375;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,125;0,00;0,00;0,25;0,00;0,00;0,00;0,00
5-10g;Schwächende Eingriffe an einem schrägen Augenmuskel;30;0;2;9;6;1;1;2;0;0;1;4;1;0;0;1;0;0;1;1;0;0,00;0,0667;0,30;0,20;0,0333;0,0333;0,0667;0,00;0,00;0,0333;0,1333;0,0333;0,00;0,00;0,0333;0,00;0,00;0,0333;0,0333;0,00
5-10h;Transposition eines schrägen Augenmuskels;3;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0,00;0,00;0,3333;0,3333;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3333;0,00;0,00;0,00;0,00;0,00;0,00
5-10j;Andere Operationen an den schrägen Augenmuskeln;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0,00;0,3333;0,3333;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3333;0,00
5-10k;Kombinierte Operationen an den Augenmuskeln;582;0;18;180;84;46;23;27;21;23;25;24;28;15;13;8;22;16;4;3;2;0,00;0,0309;0,3093;0,1443;0,079;0,0395;0,0464;0,0361;0,0395;0,043;0,0412;0,0481;0,0258;0,0223;0,0137;0,0378;0,0275;0,0069;0,0052;0,0034
5-10m;Andere Operationen an den Augenmuskeln;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
5-110;Operative Entfernung eines Fremdkörpers aus der Konjunktiva;4;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0,00;0,00;0,25;0,00;0,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,00;0,25;0,00;0,00;0,00;0,00
5-112;Exzision und Destruktion von (erkranktem) Gewebe der Konjunktiva;73;0;0;1;2;5;1;0;3;3;2;5;1;10;6;5;7;10;5;5;2;0,00;0,00;0,0137;0,0274;0,0685;0,0137;0,00;0,0411;0,0411;0,0274;0,0685;0,0137;0,137;0,0822;0,0685;0,0959;0,137;0,0685;0,0685;0,0274
5-113;Konjunktivaplastik;111;0;0;1;1;0;3;1;4;4;4;10;11;16;5;15;11;15;6;4;0;0,00;0,00;0,009;0,009;0,00;0,027;0,009;0,036;0,036;0,036;0,0901;0,0991;0,1441;0,045;0,1351;0,0991;0,1351;0,0541;0,036;0,00
