viersteller;vierstellername;Anzahl HA;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
3-843;Magnetresonanz-Cholangiopankreatikographie [MRCP];24202;30;32;64;148;335;517;664;749;750;1071;1587;1960;2202;2304;2257;3276;3226;1838;932;260;0,0012;0,0013;0,0026;0,0061;0,0138;0,0214;0,0274;0,0309;0,031;0,0443;0,0656;0,081;0,091;0,0952;0,0933;0,1354;0,1333;0,0759;0,0385;0,0107
3-844;Magnetresonanz-Arthrographie;451;1;7;4;15;12;17;19;19;18;30;28;35;32;31;42;50;39;30;16;6;0,0022;0,0155;0,0089;0,0333;0,0266;0,0377;0,0421;0,0421;0,0399;0,0665;0,0621;0,0776;0,071;0,0687;0,0931;0,1109;0,0865;0,0665;0,0355;0,0133
3-84x;Andere Magnetresonanz-Spezialverfahren;38182;253;377;323;530;1026;1061;1135;1137;1156;1521;2325;2840;3100;3489;3272;4731;4989;2958;1535;424;0,0066;0,0099;0,0085;0,0139;0,0269;0,0278;0,0297;0,0298;0,0303;0,0398;0,0609;0,0744;0,0812;0,0914;0,0857;0,1239;0,1307;0,0775;0,0402;0,0111
3-900;Knochendichtemessung (alle Verfahren);39522;2;6;38;57;95;167;276;372;506;955;1991;3360;3769;3974;3523;5827;6473;4392;2759;980;0,0001;0,0002;0,001;0,0014;0,0024;0,0042;0,007;0,0094;0,0128;0,0242;0,0504;0,085;0,0954;0,1006;0,0891;0,1474;0,1638;0,1111;0,0698;0,0248
3-901;Elektroimpedanzspektroskopie der Haut;88;0;0;0;0;1;0;0;0;0;3;3;0;4;8;3;16;14;19;12;5;0,00;0,00;0,00;0,00;0,0114;0,00;0,00;0,00;0,00;0,0341;0,0341;0,00;0,0455;0,0909;0,0341;0,1818;0,1591;0,2159;0,1364;0,0568
3-902;Radiofrequenzspektroskopie von Brustgewebe;11;0;0;0;0;0;0;0;0;0;2;1;2;0;0;1;3;1;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1818;0,0909;0,1818;0,00;0,00;0,0909;0,2727;0,0909;0,00;0,0909;0,00
3-990;Computergestützte Bilddatenanalyse mit 3D-Auswertung;1040522;1807;3527;3642;5267;12603;17549;20103;21957;24414;33749;54055;71145;80776;91708;90269;137183;153548;110199;74666;32355;0,0017;0,0034;0,0035;0,0051;0,0121;0,0169;0,0193;0,0211;0,0235;0,0324;0,0519;0,0684;0,0776;0,0881;0,0868;0,1318;0,1476;0,1059;0,0718;0,0311
3-991;Computergestützte Bilddatenanalyse mit 4D-Auswertung;24687;48;88;117;131;328;419;452;511;617;815;1381;1656;1921;2169;2320;3405;3864;2543;1374;528;0,0019;0,0036;0,0047;0,0053;0,0133;0,017;0,0183;0,0207;0,025;0,033;0,0559;0,0671;0,0778;0,0879;0,094;0,1379;0,1565;0,103;0,0557;0,0214
3-992;Intraoperative Anwendung der Verfahren;43656;535;312;235;225;362;561;898;1124;1258;1889;2892;3662;4013;4542;4209;5942;5826;3145;1565;461;0,0123;0,0071;0,0054;0,0052;0,0083;0,0129;0,0206;0,0257;0,0288;0,0433;0,0662;0,0839;0,0919;0,104;0,0964;0,1361;0,1335;0,072;0,0358;0,0106
3-993;Quantitative Bestimmung von Parametern;172250;1098;1276;1002;1262;2129;2695;3116;3564;3956;5575;9091;11992;13779;16076;16032;23838;25361;16739;10024;3645;0,0064;0,0074;0,0058;0,0073;0,0124;0,0156;0,0181;0,0207;0,023;0,0324;0,0528;0,0696;0,08;0,0933;0,0931;0,1384;0,1472;0,0972;0,0582;0,0212
3-994;Virtuelle 3D-Rekonstruktionstechnik;149329;273;488;563;876;1775;2405;2688;2975;3315;4713;7562;10309;11947;13304;13154;20137;22627;15999;10151;4068;0,0018;0,0033;0,0038;0,0059;0,0119;0,0161;0,018;0,0199;0,0222;0,0316;0,0506;0,069;0,08;0,0891;0,0881;0,1348;0,1515;0,1071;0,068;0,0272
3-995;Dosimetrie zur Therapieplanung;2707;0;1;1;2;14;22;32;53;81;111;191;290;303;327;326;420;314;147;66;6;0,00;0,0004;0,0004;0,0007;0,0052;0,0081;0,0118;0,0196;0,0299;0,041;0,0706;0,1071;0,1119;0,1208;0,1204;0,1552;0,116;0,0543;0,0244;0,0022
3-996;Anwendung eines 3D-Bildwandlers;7652;5;7;8;34;126;129;152;186;230;378;587;778;751;786;718;1067;928;481;236;65;0,0007;0,0009;0,001;0,0044;0,0165;0,0169;0,0199;0,0243;0,0301;0,0494;0,0767;0,1017;0,0981;0,1027;0,0938;0,1394;0,1213;0,0629;0,0308;0,0085
3-997;Computertechnische Bildfusion verschiedener bildgebender Modalitäten;7944;5;26;33;69;107;105;162;177;203;305;518;710;898;1015;930;1217;909;388;148;19;0,0006;0,0033;0,0042;0,0087;0,0135;0,0132;0,0204;0,0223;0,0256;0,0384;0,0652;0,0894;0,113;0,1278;0,1171;0,1532;0,1144;0,0488;0,0186;0,0024
3-998;Serieller Vergleich von mehr als zwei PET- oder PET/CT-Untersuchungen;902;1;1;1;6;17;14;17;20;20;38;71;59;106;115;105;146;100;47;18;0;0,0011;0,0011;0,0011;0,0067;0,0188;0,0155;0,0188;0,0222;0,0222;0,0421;0,0787;0,0654;0,1175;0,1275;0,1164;0,1619;0,1109;0,0521;0,02;0,00
5-010;Schädeleröffnung über die Kalotte;69035;1305;862;704;762;1107;1340;1512;1700;2046;2977;5017;6658;6417;6869;6026;8518;7983;4427;2140;665;0,0189;0,0125;0,0102;0,011;0,016;0,0194;0,0219;0,0246;0,0296;0,0431;0,0727;0,0964;0,093;0,0995;0,0873;0,1234;0,1156;0,0641;0,031;0,0096
5-011;Zugang durch die Schädelbasis;4140;4;10;19;41;74;116;143;175;220;281;407;506;428;408;363;439;329;144;25;8;0,001;0,0024;0,0046;0,0099;0,0179;0,028;0,0345;0,0423;0,0531;0,0679;0,0983;0,1222;0,1034;0,0986;0,0877;0,106;0,0795;0,0348;0,006;0,0019
5-012;Inzision der Schädelknochen [Kraniotomie und Kraniektomie];7003;139;127;101;101;209;215;222;239;258;368;657;783;699;698;532;684;523;269;128;51;0,0198;0,0181;0,0144;0,0144;0,0298;0,0307;0,0317;0,0341;0,0368;0,0525;0,0938;0,1118;0,0998;0,0997;0,076;0,0977;0,0747;0,0384;0,0183;0,0073
5-013;Inzision von Gehirn und Hirnhäuten;20907;149;80;66;103;183;191;217;243;293;459;854;1230;1363;1577;1766;3164;3797;2786;1759;627;0,0071;0,0038;0,0032;0,0049;0,0088;0,0091;0,0104;0,0116;0,014;0,022;0,0408;0,0588;0,0652;0,0754;0,0845;0,1513;0,1816;0,1333;0,0841;0,03
5-014;Stereotaktische Operationen an Schädel, Gehirn und Hirnhäuten;1683;2;8;15;35;50;49;67;57;57;80;156;207;190;173;182;228;101;18;6;2;0,0012;0,0048;0,0089;0,0208;0,0297;0,0291;0,0398;0,0339;0,0339;0,0475;0,0927;0,123;0,1129;0,1028;0,1081;0,1355;0,06;0,0107;0,0036;0,0012
5-015;Exzision und Destruktion von erkranktem intrakraniellem Gewebe;20838;48;192;178;229;260;331;454;564;753;1093;1734;2396;2337;2522;2166;2573;2040;743;196;29;0,0023;0,0092;0,0085;0,011;0,0125;0,0159;0,0218;0,0271;0,0361;0,0525;0,0832;0,115;0,1122;0,121;0,1039;0,1235;0,0979;0,0357;0,0094;0,0014
5-016;Exzision und Destruktion von erkranktem Gewebe der Schädelknochen;2505;21;31;28;35;40;54;79;73;116;127;224;263;218;276;208;275;227;113;65;32;0,0084;0,0124;0,0112;0,014;0,016;0,0216;0,0315;0,0291;0,0463;0,0507;0,0894;0,105;0,087;0,1102;0,083;0,1098;0,0906;0,0451;0,0259;0,0128
5-017;Inzision, Resektion und Destruktion an intrakraniellen Anteilen von Hirnnerven und Ganglien;1577;0;1;1;9;14;20;44;58;76;100;152;219;200;193;136;167;105;51;23;8;0,00;0,0006;0,0006;0,0057;0,0089;0,0127;0,0279;0,0368;0,0482;0,0634;0,0964;0,1389;0,1268;0,1224;0,0862;0,1059;0,0666;0,0323;0,0146;0,0051
5-018;Mikrovaskuläre Dekompression von intrakraniellen Nerven;747;0;0;0;0;3;5;9;19;20;49;68;77;89;113;85;112;60;29;7;2;0,00;0,00;0,00;0,00;0,004;0,0067;0,012;0,0254;0,0268;0,0656;0,091;0,1031;0,1191;0,1513;0,1138;0,1499;0,0803;0,0388;0,0094;0,0027
5-020;Kranioplastik;9417;514;213;125;109;218;279;329;332;377;548;908;1076;943;924;727;815;604;284;74;18;0,0546;0,0226;0,0133;0,0116;0,0231;0,0296;0,0349;0,0353;0,04;0,0582;0,0964;0,1143;0,1001;0,0981;0,0772;0,0865;0,0641;0,0302;0,0079;0,0019
5-021;Rekonstruktion der Hirnhäute;31173;158;235;237;282;441;607;726;880;1156;1636;2663;3416;3400;3535;2978;3713;3090;1425;467;128;0,0051;0,0075;0,0076;0,009;0,0141;0,0195;0,0233;0,0282;0,0371;0,0525;0,0854;0,1096;0,1091;0,1134;0,0955;0,1191;0,0991;0,0457;0,015;0,0041
5-022;Inzision am Liquorsystem;13886;607;261;203;201;246;243;290;338;369;587;1029;1351;1279;1368;1139;1589;1488;840;379;79;0,0437;0,0188;0,0146;0,0145;0,0177;0,0175;0,0209;0,0243;0,0266;0,0423;0,0741;0,0973;0,0921;0,0985;0,082;0,1144;0,1072;0,0605;0,0273;0,0057
5-023;Anlegen eines Liquorshuntes [Shunt-Implantation];6560;607;173;117;87;121;123;151;152;184;241;397;498;437;553;542;891;849;351;79;7;0,0925;0,0264;0,0178;0,0133;0,0184;0,0188;0,023;0,0232;0,028;0,0367;0,0605;0,0759;0,0666;0,0843;0,0826;0,1358;0,1294;0,0535;0,012;0,0011
5-024;Revision und Entfernung von Liquorableitungen;9855;625;558;516;371;400;338;358;296;308;422;651;757;707;788;614;872;762;395;101;16;0,0634;0,0566;0,0524;0,0376;0,0406;0,0343;0,0363;0,03;0,0313;0,0428;0,0661;0,0768;0,0717;0,08;0,0623;0,0885;0,0773;0,0401;0,0102;0,0016
5-025;Inzision, Exzision, Destruktion und Verschluss von intrakraniellen Blutgefäßen;4300;8;16;32;41;71;96;127;142;204;300;532;697;590;532;329;330;180;55;16;2;0,0019;0,0037;0,0074;0,0095;0,0165;0,0223;0,0295;0,033;0,0474;0,0698;0,1237;0,1621;0,1372;0,1237;0,0765;0,0767;0,0419;0,0128;0,0037;0,0005
5-026;Rekonstruktion von intrakraniellen Blutgefäßen;194;0;0;1;0;1;3;5;7;2;12;25;34;34;20;15;16;13;4;2;0;0,00;0,00;0,0052;0,00;0,0052;0,0155;0,0258;0,0361;0,0103;0,0619;0,1289;0,1753;0,1753;0,1031;0,0773;0,0825;0,067;0,0206;0,0103;0,00
5-027;Anlegen eines Bypasses und Transposition von intrakraniellen Blutgefäßen;152;0;1;1;2;8;8;9;6;7;14;15;18;21;16;10;7;7;2;0;0;0,00;0,0066;0,0066;0,0132;0,0526;0,0526;0,0592;0,0395;0,0461;0,0921;0,0987;0,1184;0,1382;0,1053;0,0658;0,0461;0,0461;0,0132;0,00;0,00
5-028;Funktionelle Eingriffe an Schädel, Gehirn und Hirnhäuten;2204;2;6;9;14;29;42;47;66;50;85;147;211;229;299;261;419;233;49;5;1;0,0009;0,0027;0,0041;0,0064;0,0132;0,0191;0,0213;0,0299;0,0227;0,0386;0,0667;0,0957;0,1039;0,1357;0,1184;0,1901;0,1057;0,0222;0,0023;0,0005
5-029;Andere Operationen an Schädel, Gehirn und Hirnhäuten;6577;28;81;78;89;228;271;261;226;215;334;564;718;683;557;537;686;593;304;106;18;0,0043;0,0123;0,0119;0,0135;0,0347;0,0412;0,0397;0,0344;0,0327;0,0508;0,0858;0,1092;0,1038;0,0847;0,0816;0,1043;0,0902;0,0462;0,0161;0,0027
5-030;Zugang zum kraniozervikalen Übergang und zur Halswirbelsäule;43016;33;64;50;99;152;261;476;1059;2002;3574;5737;6486;5564;4248;3003;3980;3413;1601;903;311;0,0008;0,0015;0,0012;0,0023;0,0035;0,0061;0,0111;0,0246;0,0465;0,0831;0,1334;0,1508;0,1293;0,0988;0,0698;0,0925;0,0793;0,0372;0,021;0,0072
5-031;Zugang zur Brustwirbelsäule;25742;14;94;256;645;825;530;526;529;560;821;1308;1885;2131;2414;2487;3805;3714;2085;912;201;0,0005;0,0037;0,0099;0,0251;0,032;0,0206;0,0204;0,0206;0,0218;0,0319;0,0508;0,0732;0,0828;0,0938;0,0966;0,1478;0,1443;0,081;0,0354;0,0078
5-032;Zugang zur Lendenwirbelsäule, zum Os sacrum und zum Os coccygis;276065;152;148;222;635;1362;2463;5328;9072;11869;15865;22568;26957;27026;26401;26049;39309;38268;16243;5308;820;0,0006;0,0005;0,0008;0,0023;0,0049;0,0089;0,0193;0,0329;0,043;0,0575;0,0817;0,0976;0,0979;0,0956;0,0944;0,1424;0,1386;0,0588;0,0192;0,003
5-033;Inzision des Spinalkanals;31098;11;20;18;50;90;177;405;723;990;1523;2282;2966;3191;3127;3071;4755;4707;2185;692;115;0,0004;0,0006;0,0006;0,0016;0,0029;0,0057;0,013;0,0232;0,0318;0,049;0,0734;0,0954;0,1026;0,1006;0,0988;0,1529;0,1514;0,0703;0,0223;0,0037
5-034;Inzision von Rückenmark und Rückenmarkhäuten;1193;4;13;15;14;6;8;18;31;41;63;79;112;119;110;103;166;181;80;23;7;0,0034;0,0109;0,0126;0,0117;0,005;0,0067;0,0151;0,026;0,0344;0,0528;0,0662;0,0939;0,0997;0,0922;0,0863;0,1391;0,1517;0,0671;0,0193;0,0059
5-035;Exzision und Destruktion von erkranktem Gewebe des Rückenmarkes und der Rückenmarkhäute;7111;38;57;33;45;48;89;125;155;208;279;479;700;741;797;752;1055;958;383;143;26;0,0053;0,008;0,0046;0,0063;0,0068;0,0125;0,0176;0,0218;0,0293;0,0392;0,0674;0,0984;0,1042;0,1121;0,1058;0,1484;0,1347;0,0539;0,0201;0,0037
5-036;Plastische Operationen an Rückenmark und Rückenmarkhäuten;15431;297;154;127;97;126;154;267;380;481;709;1093;1341;1372;1429;1455;2254;2353;952;330;60;0,0192;0,01;0,0082;0,0063;0,0082;0,01;0,0173;0,0246;0,0312;0,0459;0,0708;0,0869;0,0889;0,0926;0,0943;0,1461;0,1525;0,0617;0,0214;0,0039
5-037;Operationen an intraspinalen Blutgefäßen;2381;0;1;2;0;4;10;40;66;77;139;186;265;247;239;240;324;335;148;54;4;0,00;0,0004;0,0008;0,00;0,0017;0,0042;0,0168;0,0277;0,0323;0,0584;0,0781;0,1113;0,1037;0,1004;0,1008;0,1361;0,1407;0,0622;0,0227;0,0017
5-038;Operationen am spinalen Liquorsystem;11084;8;48;79;106;224;232;246;341;393;636;1048;1403;1244;1197;987;1294;1053;405;124;16;0,0007;0,0043;0,0071;0,0096;0,0202;0,0209;0,0222;0,0308;0,0355;0,0574;0,0946;0,1266;0,1122;0,108;0,089;0,1167;0,095;0,0365;0,0112;0,0014
5-039;Andere Operationen an Rückenmark und Rückenmarkstrukturen;10915;2;3;1;0;26;83;148;236;379;691;1110;1351;1272;1070;1018;1442;1272;562;218;31;0,0002;0,0003;0,0001;0,00;0,0024;0,0076;0,0136;0,0216;0,0347;0,0633;0,1017;0,1238;0,1165;0,098;0,0933;0,1321;0,1165;0,0515;0,02;0,0028
5-040;Inzision von Nerven;1755;1;1;1;5;8;23;41;38;44;76;133;173;227;235;171;248;202;101;24;3;0,0006;0,0006;0,0006;0,0028;0,0046;0,0131;0,0234;0,0217;0,0251;0,0433;0,0758;0,0986;0,1293;0,1339;0,0974;0,1413;0,1151;0,0575;0,0137;0,0017
5-041;Exzision und Destruktion von erkranktem Gewebe von Nerven;10781;3;16;15;44;174;324;427;427;542;842;1232;1416;1314;1064;753;962;770;311;122;23;0,0003;0,0015;0,0014;0,0041;0,0161;0,0301;0,0396;0,0396;0,0503;0,0781;0,1143;0,1313;0,1219;0,0987;0,0698;0,0892;0,0714;0,0288;0,0113;0,0021
5-042;Exzision eines Nerven zur Transplantation;675;11;4;8;15;46;73;63;42;39;36;69;55;61;42;34;35;29;5;4;4;0,0163;0,0059;0,0119;0,0222;0,0681;0,1081;0,0933;0,0622;0,0578;0,0533;0,1022;0,0815;0,0904;0,0622;0,0504;0,0519;0,043;0,0074;0,0059;0,0059
5-043;Sympathektomie;1027;0;0;2;3;116;206;155;111;62;40;46;51;36;29;47;57;36;23;7;0;0,00;0,00;0,0019;0,0029;0,113;0,2006;0,1509;0,1081;0,0604;0,0389;0,0448;0,0497;0,0351;0,0282;0,0458;0,0555;0,0351;0,0224;0,0068;0,00
5-044;Epineurale Naht eines Nerven und Nervenplexus, primär;5896;5;82;97;138;363;594;575;491;395;417;535;558;454;355;254;256;193;87;34;13;0,0008;0,0139;0,0165;0,0234;0,0616;0,1007;0,0975;0,0833;0,067;0,0707;0,0907;0,0946;0,077;0,0602;0,0431;0,0434;0,0327;0,0148;0,0058;0,0022
5-045;Interfaszikuläre Naht eines Nerven und Nervenplexus, primär;1408;0;21;31;31;102;144;141;118;107;99;117;99;116;86;50;61;50;22;12;1;0,00;0,0149;0,022;0,022;0,0724;0,1023;0,1001;0,0838;0,076;0,0703;0,0831;0,0703;0,0824;0,0611;0,0355;0,0433;0,0355;0,0156;0,0085;0,0007
5-046;Epineurale Naht eines Nerven und Nervenplexus, sekundär;517;1;4;6;6;47;51;42;44;42;50;60;42;37;25;24;16;11;5;2;2;0,0019;0,0077;0,0116;0,0116;0,0909;0,0986;0,0812;0,0851;0,0812;0,0967;0,1161;0,0812;0,0716;0,0484;0,0464;0,0309;0,0213;0,0097;0,0039;0,0039
5-047;Interfaszikuläre Naht eines Nerven und Nervenplexus, sekundär;153;0;2;3;4;11;13;16;12;15;13;12;19;7;8;7;5;4;2;0;0;0,00;0,0131;0,0196;0,0261;0,0719;0,085;0,1046;0,0784;0,098;0,085;0,0784;0,1242;0,0458;0,0523;0,0458;0,0327;0,0261;0,0131;0,00;0,00
5-048;Epineurale Naht eines Nerven und Nervenplexus mit Transplantation;340;1;1;2;5;23;35;31;23;18;21;28;41;37;19;26;13;9;4;2;1;0,0029;0,0029;0,0059;0,0147;0,0676;0,1029;0,0912;0,0676;0,0529;0,0618;0,0824;0,1206;0,1088;0,0559;0,0765;0,0382;0,0265;0,0118;0,0059;0,0029
5-049;Interfaszikuläre Naht eines Nerven und Nervenplexus mit Transplantation;271;2;3;5;3;26;39;22;16;19;18;31;16;23;16;7;12;10;2;0;1;0,0074;0,0111;0,0185;0,0111;0,0959;0,1439;0,0812;0,059;0,0701;0,0664;0,1144;0,059;0,0849;0,059;0,0258;0,0443;0,0369;0,0074;0,00;0,0037
5-04a;Perkutane Sympathikolyse mit Steuerung durch bildgebende Verfahren;1717;0;0;0;0;5;7;9;17;23;36;62;111;157;145;168;248;305;216;152;56;0,00;0,00;0,00;0,00;0,0029;0,0041;0,0052;0,0099;0,0134;0,021;0,0361;0,0646;0,0914;0,0844;0,0978;0,1444;0,1776;0,1258;0,0885;0,0326
5-050;Epineurale Naht eines Nerven und Nervenplexus mit Transposition, primär;235;1;2;2;6;11;29;37;23;18;20;21;14;10;8;6;11;6;7;2;1;0,0043;0,0085;0,0085;0,0255;0,0468;0,1234;0,1574;0,0979;0,0766;0,0851;0,0894;0,0596;0,0426;0,034;0,0255;0,0468;0,0255;0,0298;0,0085;0,0043
5-051;Interfaszikuläre Naht eines Nerven und Nervenplexus mit Transposition, primär;57;1;1;0;2;5;5;5;7;7;2;6;2;4;4;2;3;0;1;0;0;0,0175;0,0175;0,00;0,0351;0,0877;0,0877;0,0877;0,1228;0,1228;0,0351;0,1053;0,0351;0,0702;0,0702;0,0351;0,0526;0,00;0,0175;0,00;0,00
5-052;Epineurale Naht eines Nerven und Nervenplexus mit Transposition, sekundär;40;1;0;0;0;3;4;2;5;1;3;1;3;4;3;3;4;1;2;0;0;0,025;0,00;0,00;0,00;0,075;0,10;0,05;0,125;0,025;0,075;0,025;0,075;0,10;0,075;0,075;0,10;0,025;0,05;0,00;0,00
5-053;Interfaszikuläre Naht eines Nerven und Nervenplexus mit Transposition, sekundär;69;0;1;1;1;7;12;6;3;3;3;9;7;8;1;2;3;2;0;0;0;0,00;0,0145;0,0145;0,0145;0,1014;0,1739;0,087;0,0435;0,0435;0,0435;0,1304;0,1014;0,1159;0,0145;0,029;0,0435;0,029;0,00;0,00;0,00
5-054;Epineurale Naht eines Nerven und Nervenplexus mit Transplantation und Transposition;124;1;1;2;2;5;18;14;10;7;9;11;6;13;11;2;7;5;0;0;0;0,0081;0,0081;0,0161;0,0161;0,0403;0,1452;0,1129;0,0806;0,0565;0,0726;0,0887;0,0484;0,1048;0,0887;0,0161;0,0565;0,0403;0,00;0,00;0,00
5-055;Interfaszikuläre Naht eines Nerven und Nervenplexus mit Transplantation und Transposition;98;9;8;2;6;8;13;10;4;3;2;9;4;7;6;1;3;3;0;0;0;0,0918;0,0816;0,0204;0,0612;0,0816;0,1327;0,102;0,0408;0,0306;0,0204;0,0918;0,0408;0,0714;0,0612;0,0102;0,0306;0,0306;0,00;0,00;0,00
5-056;Neurolyse und Dekompression eines Nerven;54092;84;216;404;545;1314;1712;1755;1892;1967;2687;4101;5079;5111;4929;4203;5793;5830;3770;2060;640;0,0016;0,004;0,0075;0,0101;0,0243;0,0316;0,0324;0,035;0,0364;0,0497;0,0758;0,0939;0,0945;0,0911;0,0777;0,1071;0,1078;0,0697;0,0381;0,0118
5-057;Neurolyse und Dekompression eines Nerven mit Transposition;4732;11;15;56;54;264;343;249;238;285;282;429;518;432;371;299;324;295;161;73;33;0,0023;0,0032;0,0118;0,0114;0,0558;0,0725;0,0526;0,0503;0,0602;0,0596;0,0907;0,1095;0,0913;0,0784;0,0632;0,0685;0,0623;0,034;0,0154;0,007
5-058;Andere Rekonstruktion eines Nerven und Nervenplexus;367;0;1;3;2;20;20;29;24;19;29;30;36;41;31;21;27;18;9;6;1;0,00;0,0027;0,0082;0,0054;0,0545;0,0545;0,079;0,0654;0,0518;0,079;0,0817;0,0981;0,1117;0,0845;0,0572;0,0736;0,049;0,0245;0,0163;0,0027
5-059;Andere Operationen an Nerven und Ganglien;9624;70;66;75;90;90;198;250;306;380;581;965;1139;999;879;896;1237;971;323;102;7;0,0073;0,0069;0,0078;0,0094;0,0094;0,0206;0,026;0,0318;0,0395;0,0604;0,1003;0,1183;0,1038;0,0913;0,0931;0,1285;0,1009;0,0336;0,0106;0,0007
5-060;Inzision im Gebiet der Schilddrüse;1963;0;0;2;1;7;13;31;38;77;111;235;261;266;236;220;215;154;66;26;4;0,00;0,00;0,001;0,0005;0,0036;0,0066;0,0158;0,0194;0,0392;0,0565;0,1197;0,133;0,1355;0,1202;0,1121;0,1095;0,0785;0,0336;0,0132;0,002
5-061;Hemithyreoidektomie;23107;0;1;7;46;208;412;781;1333;1924;2621;3344;3219;2625;2200;1651;1482;891;265;84;13;0,00;0,00;0,0003;0,002;0,009;0,0178;0,0338;0,0577;0,0833;0,1134;0,1447;0,1393;0,1136;0,0952;0,0715;0,0641;0,0386;0,0115;0,0036;0,0006
5-062;Andere partielle Schilddrüsenresektion;13735;2;0;2;17;63;127;264;511;865;1339;1929;2158;1793;1523;1173;1028;658;215;55;13;0,0001;0,00;0,0001;0,0012;0,0046;0,0092;0,0192;0,0372;0,063;0,0975;0,1404;0,1571;0,1305;0,1109;0,0854;0,0748;0,0479;0,0157;0,004;0,0009
5-063;Thyreoidektomie;38692;0;4;13;48;232;473;893;1541;2153;3271;5038;5592;5021;4654;3744;3400;1920;560;120;15;0,00;0,0001;0,0003;0,0012;0,006;0,0122;0,0231;0,0398;0,0556;0,0845;0,1302;0,1445;0,1298;0,1203;0,0968;0,0879;0,0496;0,0145;0,0031;0,0004
5-064;Operationen an der Schilddrüse durch Sternotomie;252;0;0;0;0;0;0;2;4;6;7;15;22;29;23;31;35;44;22;10;2;0,00;0,00;0,00;0,00;0,00;0,00;0,0079;0,0159;0,0238;0,0278;0,0595;0,0873;0,1151;0,0913;0,123;0,1389;0,1746;0,0873;0,0397;0,0079
5-065;Exzision des Ductus thyreoglossus;2047;12;258;179;71;81;88;104;114;130;139;185;214;132;125;86;72;36;15;6;0;0,0059;0,126;0,0874;0,0347;0,0396;0,043;0,0508;0,0557;0,0635;0,0679;0,0904;0,1045;0,0645;0,0611;0,042;0,0352;0,0176;0,0073;0,0029;0,00
5-066;Partielle Nebenschilddrüsenresektion;2078;0;0;0;0;3;25;39;53;101;123;214;267;244;236;213;272;200;68;18;2;0,00;0,00;0,00;0,00;0,0014;0,012;0,0188;0,0255;0,0486;0,0592;0,103;0,1285;0,1174;0,1136;0,1025;0,1309;0,0962;0,0327;0,0087;0,001
5-067;Parathyreoidektomie;4979;0;0;1;6;23;73;140;180;237;343;595;693;624;594;460;536;321;121;29;3;0,00;0,00;0,0002;0,0012;0,0046;0,0147;0,0281;0,0362;0,0476;0,0689;0,1195;0,1392;0,1253;0,1193;0,0924;0,1077;0,0645;0,0243;0,0058;0,0006
5-068;Operationen an der Nebenschilddrüse durch Sternotomie;39;0;0;0;0;0;0;2;1;2;4;4;4;6;5;2;3;4;1;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,0513;0,0256;0,0513;0,1026;0,1026;0,1026;0,1538;0,1282;0,0513;0,0769;0,1026;0,0256;0,0256;0,00
5-069;Andere Operationen an Schilddrüse und Nebenschilddrüsen;71201;0;8;17;110;451;955;1856;3147;4563;6644;9666;10380;8961;7917;6258;5674;3319;1001;240;34;0,00;0,0001;0,0002;0,0015;0,0063;0,0134;0,0261;0,0442;0,0641;0,0933;0,1358;0,1458;0,1259;0,1112;0,0879;0,0797;0,0466;0,0141;0,0034;0,0005
5-070;Exploration der (Umgebung der) Nebenniere;51;1;2;2;0;0;0;0;1;4;3;5;3;7;4;5;4;7;2;1;0;0,0196;0,0392;0,0392;0,00;0,00;0,00;0,00;0,0196;0,0784;0,0588;0,098;0,0588;0,1373;0,0784;0,098;0,0784;0,1373;0,0392;0,0196;0,00
5-071;Partielle Adrenalektomie;617;8;13;9;3;4;5;15;15;22;30;52;63;67;74;71;61;70;24;9;2;0,013;0,0211;0,0146;0,0049;0,0065;0,0081;0,0243;0,0243;0,0357;0,0486;0,0843;0,1021;0,1086;0,1199;0,1151;0,0989;0,1135;0,0389;0,0146;0,0032
5-072;Adrenalektomie;3274;10;36;8;4;9;27;43;56;91;156;270;333;391;426;412;451;363;153;32;3;0,0031;0,011;0,0024;0,0012;0,0027;0,0082;0,0131;0,0171;0,0278;0,0476;0,0825;0,1017;0,1194;0,1301;0,1258;0,1378;0,1109;0,0467;0,0098;0,0009
5-073;Andere Operationen an der Nebenniere;135;1;3;1;1;0;0;1;2;3;1;6;11;16;12;19;23;20;11;4;0;0,0074;0,0222;0,0074;0,0074;0,00;0,00;0,0074;0,0148;0,0222;0,0074;0,0444;0,0815;0,1185;0,0889;0,1407;0,1704;0,1481;0,0815;0,0296;0,00
