kategorie;kategoriename;Anzahl HA;VwdMw;stdVwd;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
E01;Jodmangelbedingte Schilddrüsenkrankheiten und verwandte Zustände;658;3,617;2,6141;0;0;0;0;4;4;9;22;31;54;81;78;87;76;81;59;44;23;3;2;0,00;0,00;0,00;0,00;0,0061;0,0061;0,0137;0,0334;0,0471;0,0821;0,1231;0,1185;0,1322;0,1155;0,1231;0,0897;0,0669;0,035;0,0046;0,003
E02;Subklinische Jodmangel-Hypothyreose;4;3,25;0,9574;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,00;0,00;0,25;0,25;0,25;0,00;0,00
E03;Sonstige Hypothyreose;1591;7,462;7,6682;98;8;22;40;39;46;41;62;47;61;67;96;76;88;100;127;176;164;155;78;0,0616;0,005;0,0138;0,0251;0,0245;0,0289;0,0258;0,039;0,0295;0,0383;0,0421;0,0603;0,0478;0,0553;0,0629;0,0798;0,1106;0,1031;0,0974;0,049
E04;Sonstige nichttoxische Struma;55303;3,5761;2,2251;2;3;9;53;219;517;1023;2071;3434;5232;7637;8229;7028;6387;5035;4523;2717;866;254;64;0,00;0,0001;0,0002;0,001;0,004;0,0093;0,0185;0,0374;0,0621;0,0946;0,1381;0,1488;0,1271;0,1155;0,091;0,0818;0,0491;0,0157;0,0046;0,0012
E05;Hyperthyreose [Thyreotoxikose];34463;4,5201;3,9604;7;7;17;54;261;526;895;1158;1295;1753;2940;3861;3837;3724;3321;4226;3749;1875;767;190;0,0002;0,0002;0,0005;0,0016;0,0076;0,0153;0,026;0,0336;0,0376;0,0509;0,0853;0,112;0,1113;0,1081;0,0964;0,1226;0,1088;0,0544;0,0223;0,0055
E06;Thyreoiditis;2621;4,9996;4,1768;0;2;15;47;69;78;132;175;201;259;373;377;245;192;139;135;99;36;35;12;0,00;0,0008;0,0057;0,0179;0,0263;0,0298;0,0504;0,0668;0,0767;0,0988;0,1423;0,1438;0,0935;0,0733;0,053;0,0515;0,0378;0,0137;0,0134;0,0046
E07;Sonstige Krankheiten der Schilddrüse;115;3,4348;2,4175;0;1;3;0;2;5;2;3;9;6;15;10;10;14;9;11;8;4;3;0;0,00;0,0087;0,0261;0,00;0,0174;0,0435;0,0174;0,0261;0,0783;0,0522;0,1304;0,087;0,087;0,1217;0,0783;0,0957;0,0696;0,0348;0,0261;0,00
E10;Diabetes mellitus, Typ 1;38995;7,8504;7,3388;30;926;2630;5916;4553;3020;2493;2214;1995;2193;2822;2553;2032;1533;1032;1151;1026;568;236;72;0,0008;0,0237;0,0674;0,1517;0,1168;0,0774;0,0639;0,0568;0,0512;0,0562;0,0724;0,0655;0,0521;0,0393;0,0265;0,0295;0,0263;0,0146;0,0061;0,0018
E11;Diabetes mellitus, Typ 2;164330;10,8766;11,1494;0;4;17;79;154;348;600;916;1576;2871;5701;9863;13038;16523;16787;23943;29903;21914;14146;5947;0,00;0,00;0,0001;0,0005;0,0009;0,0021;0,0037;0,0056;0,0096;0,0175;0,0347;0,06;0,0793;0,1005;0,1022;0,1457;0,182;0,1334;0,0861;0,0362
E12;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition];19;10,00;15,4092;0;0;0;0;3;1;0;0;0;0;1;2;0;4;1;0;2;1;2;2;0,00;0,00;0,00;0,00;0,1579;0,0526;0,00;0,00;0,00;0,00;0,0526;0,1053;0,00;0,2105;0,0526;0,00;0,1053;0,0526;0,1053;0,1053
E13;Sonstiger näher bezeichneter Diabetes mellitus;4993;8,133;7,4479;1;4;15;39;39;42;61;75;148;251;582;682;669;564;441;500;467;253;115;45;0,0002;0,0008;0,003;0,0078;0,0078;0,0084;0,0122;0,015;0,0296;0,0503;0,1166;0,1366;0,134;0,113;0,0883;0,1001;0,0935;0,0507;0,023;0,009
E14;Nicht näher bezeichneter Diabetes mellitus;609;9,312;9,6203;1;7;5;24;12;8;9;15;20;25;34;59;45;46;40;81;64;56;40;18;0,0016;0,0115;0,0082;0,0394;0,0197;0,0131;0,0148;0,0246;0,0328;0,0411;0,0558;0,0969;0,0739;0,0755;0,0657;0,133;0,1051;0,092;0,0657;0,0296
E15;Hypoglykämisches Koma, nichtdiabetisch;218;6,1697;8,0037;6;10;1;0;3;3;4;7;10;6;14;13;13;14;18;18;22;25;20;11;0,0275;0,0459;0,0046;0,00;0,0138;0,0138;0,0183;0,0321;0,0459;0,0275;0,0642;0,0596;0,0596;0,0642;0,0826;0,0826;0,1009;0,1147;0,0917;0,0505
E16;Sonstige Störungen der inneren Sekretion des Pankreas;2863;4,78;5,8407;84;235;56;62;108;155;125;129;125;128;176;169;148;144;122;196;215;224;166;96;0,0293;0,0821;0,0196;0,0217;0,0377;0,0541;0,0437;0,0451;0,0437;0,0447;0,0615;0,059;0,0517;0,0503;0,0426;0,0685;0,0751;0,0782;0,058;0,0335
E20;Hypoparathyreoidismus;167;8,7305;8,2114;4;4;4;6;6;2;6;7;3;6;13;11;14;7;12;17;15;14;15;1;0,024;0,024;0,024;0,0359;0,0359;0,012;0,0359;0,0419;0,018;0,0359;0,0778;0,0659;0,0838;0,0419;0,0719;0,1018;0,0898;0,0838;0,0898;0,006
E21;Hyperparathyreoidismus und sonstige Krankheiten der Nebenschilddrüse;4132;5,514;5,6057;2;0;1;10;11;43;87;84;150;200;361;446;485;475;422;567;441;234;90;23;0,0005;0,00;0,0002;0,0024;0,0027;0,0104;0,0211;0,0203;0,0363;0,0484;0,0874;0,1079;0,1174;0,115;0,1021;0,1372;0,1067;0,0566;0,0218;0,0056
E22;Überfunktion der Hypophyse;1761;10,0488;7,4915;6;14;7;3;5;7;14;21;20;30;54;102;125;142;153;275;295;255;167;66;0,0034;0,008;0,004;0,0017;0,0028;0,004;0,008;0,0119;0,0114;0,017;0,0307;0,0579;0,071;0,0806;0,0869;0,1562;0,1675;0,1448;0,0948;0,0375
E23;Unterfunktion und andere Störungen der Hypophyse;1946;4,0868;5,7735;54;280;237;241;141;83;65;65;73;65;81;109;101;73;55;88;87;34;12;2;0,0277;0,1439;0,1218;0,1238;0,0725;0,0427;0,0334;0,0334;0,0375;0,0334;0,0416;0,056;0,0519;0,0375;0,0283;0,0452;0,0447;0,0175;0,0062;0,001
E24;Cushing-Syndrom;650;7,0646;8,7859;2;8;5;3;26;31;29;32;48;62;58;71;76;67;50;43;25;11;2;1;0,0031;0,0123;0,0077;0,0046;0,04;0,0477;0,0446;0,0492;0,0738;0,0954;0,0892;0,1092;0,1169;0,1031;0,0769;0,0662;0,0385;0,0169;0,0031;0,0015
E25;Adrenogenitale Störungen;167;4,9521;5,1785;93;14;20;9;8;10;4;1;4;0;2;1;0;0;0;1;0;0;0;0;0,5569;0,0838;0,1198;0,0539;0,0479;0,0599;0,024;0,006;0,024;0,00;0,012;0,006;0,00;0,00;0,00;0,006;0,00;0,00;0,00;0,00
E26;Hyperaldosteronismus;1059;4,6827;5,5244;14;12;9;6;9;17;19;38;53;120;173;129;99;112;103;84;39;14;6;3;0,0132;0,0113;0,0085;0,0057;0,0085;0,0161;0,0179;0,0359;0,05;0,1133;0,1634;0,1218;0,0935;0,1058;0,0973;0,0793;0,0368;0,0132;0,0057;0,0028
E27;Sonstige Krankheiten der Nebenniere;1620;8,0241;7,8285;30;17;18;18;37;56;66;77;60;66;129;130;124;161;119;182;159;101;60;10;0,0185;0,0105;0,0111;0,0111;0,0228;0,0346;0,0407;0,0475;0,037;0,0407;0,0796;0,0802;0,0765;0,0994;0,0735;0,1123;0,0981;0,0623;0,037;0,0062
E28;Ovarielle Dysfunktion;303;2,7261;2,6783;0;0;0;16;44;52;80;50;22;12;5;7;5;3;2;1;4;0;0;0;0,00;0,00;0,00;0,0528;0,1452;0,1716;0,264;0,165;0,0726;0,0396;0,0165;0,0231;0,0165;0,0099;0,0066;0,0033;0,0132;0,00;0,00;0,00
E29;Testikuläre Dysfunktion;31;3,9677;4,5496;2;1;0;0;5;2;0;4;2;1;3;6;1;3;0;1;0;0;0;0;0,0645;0,0323;0,00;0,00;0,1613;0,0645;0,00;0,129;0,0645;0,0323;0,0968;0,1935;0,0323;0,0968;0,00;0,0323;0,00;0,00;0,00;0,00
E30;Pubertätsstörungen, anderenorts nicht klassifiziert;177;1,5706;1,0318;4;18;113;23;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0226;0,1017;0,6384;0,1299;0,1073;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
E31;Polyglanduläre Dysfunktion;93;6,7097;5,8525;0;0;6;6;1;6;8;11;6;7;11;9;8;2;3;3;6;0;0;0;0,00;0,00;0,0645;0,0645;0,0108;0,0645;0,086;0,1183;0,0645;0,0753;0,1183;0,0968;0,086;0,0215;0,0323;0,0323;0,0645;0,00;0,00;0,00
E32;Krankheiten des Thymus;87;7,046;4,8774;1;1;3;2;6;5;11;14;8;8;3;6;2;7;1;3;6;0;0;0;0,0115;0,0115;0,0345;0,023;0,069;0,0575;0,1264;0,1609;0,092;0,092;0,0345;0,069;0,023;0,0805;0,0115;0,0345;0,069;0,00;0,00;0,00
E34;Sonstige endokrine Störungen;1149;2,0923;2,2824;15;209;366;368;69;7;8;9;6;4;8;13;11;8;15;15;13;2;3;0;0,0131;0,1819;0,3185;0,3203;0,0601;0,0061;0,007;0,0078;0,0052;0,0035;0,007;0,0113;0,0096;0,007;0,0131;0,0131;0,0113;0,0017;0,0026;0,00
E35;Störungen der endokrinen Drüsen bei anderenorts klassifizierten Krankheiten;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
E40;Kwashiorkor;5;16,60;16,2111;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0,20;0,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,20;0,20;0,00;0,00;0,00
E41;Alimentärer Marasmus;562;11,1601;9,3364;19;23;9;18;41;17;11;11;6;13;17;35;45;43;26;45;60;52;50;21;0,0338;0,0409;0,016;0,032;0,073;0,0302;0,0196;0,0196;0,0107;0,0231;0,0302;0,0623;0,0801;0,0765;0,0463;0,0801;0,1068;0,0925;0,089;0,0374
E42;Kwashiorkor-Marasmus;17;11,8824;8,9992;0;0;0;0;0;0;0;1;0;0;0;1;0;2;3;4;2;0;3;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0588;0,00;0,00;0,00;0,0588;0,00;0,1176;0,1765;0,2353;0,1176;0,00;0,1765;0,0588
E43;Nicht näher bezeichnete erhebliche Energie- und Eiweißmangelernährung;711;11,3263;8,5189;12;15;6;9;17;17;9;9;11;17;23;33;38;62;48;88;108;87;65;37;0,0169;0,0211;0,0084;0,0127;0,0239;0,0239;0,0127;0,0127;0,0155;0,0239;0,0323;0,0464;0,0534;0,0872;0,0675;0,1238;0,1519;0,1224;0,0914;0,052
E44;Energie- und Eiweißmangelernährung mäßigen und leichten Grades;679;9,8454;7,9321;42;47;12;13;18;2;3;5;11;3;15;33;41;62;50;69;89;79;52;33;0,0619;0,0692;0,0177;0,0191;0,0265;0,0029;0,0044;0,0074;0,0162;0,0044;0,0221;0,0486;0,0604;0,0913;0,0736;0,1016;0,1311;0,1163;0,0766;0,0486
E45;Entwicklungsverzögerung durch Energie- und Eiweißmangelernährung;150;7,1667;6,325;67;57;17;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4467;0,38;0,1133;0,0467;0,0133;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
E46;Nicht näher bezeichnete Energie- und Eiweißmangelernährung;527;9,9677;7,0544;32;22;12;9;16;9;4;5;6;19;13;16;23;57;34;54;73;51;42;30;0,0607;0,0417;0,0228;0,0171;0,0304;0,0171;0,0076;0,0095;0,0114;0,0361;0,0247;0,0304;0,0436;0,1082;0,0645;0,1025;0,1385;0,0968;0,0797;0,0569
E50;Vitamin-A-Mangel;9;7,7778;5,0442;0;0;0;0;0;2;0;0;0;2;0;0;1;1;0;1;0;0;1;1;0,00;0,00;0,00;0,00;0,00;0,2222;0,00;0,00;0,00;0,2222;0,00;0,00;0,1111;0,1111;0,00;0,1111;0,00;0,00;0,1111;0,1111
E51;Thiaminmangel [Vitamin-B1-Mangel];964;12,5747;14,6245;0;0;0;0;0;3;14;15;26;47;125;161;138;159;106;85;56;24;5;0;0,00;0,00;0,00;0,00;0,00;0,0031;0,0145;0,0156;0,027;0,0488;0,1297;0,167;0,1432;0,1649;0,11;0,0882;0,0581;0,0249;0,0052;0,00
E52;Niazinmangel [Pellagra];-999;-999,00;-999,00;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
E53;Mangel an sonstigen Vitaminen des Vitamin-B-Komplexes;1555;8,0752;6,2067;7;12;4;2;14;10;27;25;30;45;65;105;110;130;129;232;251;192;123;42;0,0045;0,0077;0,0026;0,0013;0,009;0,0064;0,0174;0,0161;0,0193;0,0289;0,0418;0,0675;0,0707;0,0836;0,083;0,1492;0,1614;0,1235;0,0791;0,027
E54;Ascorbinsäuremangel;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
E55;Vitamin-D-Mangel;138;6,8986;5,0563;9;25;3;8;6;2;2;7;4;9;5;10;7;6;8;5;8;7;7;0;0,0652;0,1812;0,0217;0,058;0,0435;0,0145;0,0145;0,0507;0,029;0,0652;0,0362;0,0725;0,0507;0,0435;0,058;0,0362;0,058;0,0507;0,0507;0,00
E56;Sonstige Vitaminmangelzustände;20;5,15;4,934;8;0;1;0;0;1;1;0;0;2;0;2;1;0;1;0;2;0;1;0;0,40;0,00;0,05;0,00;0,00;0,05;0,05;0,00;0,00;0,10;0,00;0,10;0,05;0,00;0,05;0,00;0,10;0,00;0,05;0,00
E58;Alimentärer Kalziummangel;38;7,7632;5,154;0;0;0;0;0;0;1;0;3;1;5;1;4;0;6;6;5;5;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,0263;0,00;0,0789;0,0263;0,1316;0,0263;0,1053;0,00;0,1579;0,1579;0,1316;0,1316;0,0263;0,00
E59;Alimentärer Selenmangel;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
E60;Alimentärer Zinkmangel;3;15,6667;8,5049;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3333;0,00;0,00;0,00;0,3333;0,00;0,3333
E61;Mangel an sonstigen Spurenelementen;238;4,2353;4,6755;1;4;3;6;12;4;3;13;9;7;25;14;9;12;13;29;33;23;7;11;0,0042;0,0168;0,0126;0,0252;0,0504;0,0168;0,0126;0,0546;0,0378;0,0294;0,105;0,0588;0,0378;0,0504;0,0546;0,1218;0,1387;0,0966;0,0294;0,0462
E63;Sonstige alimentäre Mangelzustände;80;7,675;7,3567;8;6;3;1;6;2;3;2;1;8;0;3;3;3;4;5;8;9;5;0;0,10;0,075;0,0375;0,0125;0,075;0,025;0,0375;0,025;0,0125;0,10;0,00;0,0375;0,0375;0,0375;0,05;0,0625;0,10;0,1125;0,0625;0,00
E64;Folgen von Mangelernährung oder sonstigen alimentären Mangelzuständen;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
E65;Lokalisierte Adipositas;3628;7,1709;5,7162;0;0;0;1;19;169;320;392;468;506;578;503;306;207;103;38;17;0;1;0;0,00;0,00;0,00;0,0003;0,0052;0,0466;0,0882;0,108;0,129;0,1395;0,1593;0,1386;0,0843;0,0571;0,0284;0,0105;0,0047;0,00;0,0003;0,00
E66;Adipositas;15151;5,767;7,7504;22;69;184;284;209;440;809;1212;1411;1619;2051;1979;1596;1230;774;593;439;181;46;3;0,0015;0,0046;0,0121;0,0187;0,0138;0,029;0,0534;0,08;0,0931;0,1069;0,1354;0,1306;0,1053;0,0812;0,0511;0,0391;0,029;0,0119;0,003;0,0002
E67;Sonstige Überernährung;31;7,6452;7,3191;2;4;2;1;0;0;0;0;0;0;0;0;2;5;4;4;0;3;4;0;0,0645;0,129;0,0645;0,0323;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0645;0,1613;0,129;0,129;0,00;0,0968;0,129;0,00
E68;Folgen der Überernährung;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
E70;Störungen des Stoffwechsels aromatischer Aminosäuren;150;5,40;5,6092;90;16;9;15;4;2;6;4;0;1;0;0;1;0;1;1;0;0;0;0;0,60;0,1067;0,06;0,10;0,0267;0,0133;0,04;0,0267;0,00;0,0067;0,00;0,00;0,0067;0,00;0,0067;0,0067;0,00;0,00;0,00;0,00
E71;Störungen des Stoffwechsels verzweigter Aminosäuren und des Fettsäurestoffwechsels;516;5,3081;7,5815;92;113;87;43;52;30;16;21;14;4;13;15;6;3;4;3;0;0;0;0;0,1783;0,219;0,1686;0,0833;0,1008;0,0581;0,031;0,0407;0,0271;0,0078;0,0252;0,0291;0,0116;0,0058;0,0078;0,0058;0,00;0,00;0,00;0,00
E72;Sonstige Störungen des Aminosäurestoffwechsels;307;7,9218;13,1408;78;76;53;29;35;11;8;2;3;1;2;3;2;1;1;1;1;0;0;0;0,2541;0,2476;0,1726;0,0945;0,114;0,0358;0,0261;0,0065;0,0098;0,0033;0,0065;0,0098;0,0065;0,0033;0,0033;0,0033;0,0033;0,00;0,00;0,00
E73;Laktoseintoleranz;2477;3,9742;3,091;22;50;200;500;397;152;126;86;96;90;97;108;82;91;58;89;108;71;42;12;0,0089;0,0202;0,0807;0,2019;0,1603;0,0614;0,0509;0,0347;0,0388;0,0363;0,0392;0,0436;0,0331;0,0367;0,0234;0,0359;0,0436;0,0287;0,017;0,0048
E74;Sonstige Störungen des Kohlenhydratstoffwechsels;2409;3,5745;6,3024;110;221;403;550;235;70;77;63;45;78;91;94;61;83;65;63;65;16;18;1;0,0457;0,0917;0,1673;0,2283;0,0976;0,0291;0,032;0,0262;0,0187;0,0324;0,0378;0,039;0,0253;0,0345;0,027;0,0262;0,027;0,0066;0,0075;0,0004
E75;Störungen des Sphingolipidstoffwechsels und sonstige Störungen der Lipidspeicherung;677;4,4609;6,3872;22;156;186;50;30;24;22;17;17;21;32;41;17;16;10;5;9;1;1;0;0,0325;0,2304;0,2747;0,0739;0,0443;0,0355;0,0325;0,0251;0,0251;0,031;0,0473;0,0606;0,0251;0,0236;0,0148;0,0074;0,0133;0,0015;0,0015;0,00
E76;Störungen des Glykosaminoglykan-Stoffwechsels;174;3,569;5,9916;4;41;50;37;14;15;5;6;1;0;1;0;0;0;0;0;0;0;0;0;0,023;0,2356;0,2874;0,2126;0,0805;0,0862;0,0287;0,0345;0,0057;0,00;0,0057;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
E77;Störungen des Glykoproteinstoffwechsels;49;9,6735;12,9958;7;4;5;4;0;5;0;2;1;0;2;2;2;1;0;3;5;2;2;2;0,1429;0,0816;0,102;0,0816;0,00;0,102;0,00;0,0408;0,0204;0,00;0,0408;0,0408;0,0408;0,0204;0,00;0,0612;0,102;0,0408;0,0408;0,0408
E78;Störungen des Lipoproteinstoffwechsels und sonstige Lipidämien;579;3,6166;3,7317;7;10;18;31;2;6;9;7;14;40;69;68;80;60;41;54;34;17;8;4;0,0121;0,0173;0,0311;0,0535;0,0035;0,0104;0,0155;0,0121;0,0242;0,0691;0,1192;0,1174;0,1382;0,1036;0,0708;0,0933;0,0587;0,0294;0,0138;0,0069
E79;Störungen des Purin- und Pyrimidinstoffwechsels;103;7,699;6,9025;2;2;1;2;3;0;0;2;2;1;5;3;6;3;7;11;23;16;11;3;0,0194;0,0194;0,0097;0,0194;0,0291;0,00;0,00;0,0194;0,0194;0,0097;0,0485;0,0291;0,0583;0,0291;0,068;0,1068;0,2233;0,1553;0,1068;0,0291
E80;Störungen des Porphyrin- und Bilirubinstoffwechsels;872;4,5745;5,3997;25;10;6;88;115;85;89;75;53;74;72;41;33;31;12;23;18;11;8;3;0,0287;0,0115;0,0069;0,1009;0,1319;0,0975;0,1021;0,086;0,0608;0,0849;0,0826;0,047;0,0378;0,0356;0,0138;0,0264;0,0206;0,0126;0,0092;0,0034
E83;Störungen des Mineralstoffwechsels;2956;8,8816;10,3268;44;55;27;60;37;50;52;58;74;94;158;222;237;280;252;366;404;256;185;45;0,0149;0,0186;0,0091;0,0203;0,0125;0,0169;0,0176;0,0196;0,025;0,0318;0,0535;0,0751;0,0802;0,0947;0,0853;0,1238;0,1367;0,0866;0,0626;0,0152
E84;Zystische Fibrose;4995;9,6166;10,3753;137;228;291;575;867;801;646;592;358;197;158;62;35;6;21;13;7;0;1;0;0,0274;0,0456;0,0583;0,1151;0,1736;0,1604;0,1293;0,1185;0,0717;0,0394;0,0316;0,0124;0,007;0,0012;0,0042;0,0026;0,0014;0,00;0,0002;0,00
E85;Amyloidose;1831;8,6264;11,1541;4;32;41;44;110;90;79;58;73;73;79;112;109;150;128;221;253;124;46;5;0,0022;0,0175;0,0224;0,024;0,0601;0,0492;0,0431;0,0317;0,0399;0,0399;0,0431;0,0612;0,0595;0,0819;0,0699;0,1207;0,1382;0,0677;0,0251;0,0027
E86;Volumenmangel;103895;6,448;5,4887;192;514;288;217;422;431;338;353;327;453;712;1159;1612;2478;3307;7903;15787;21546;26253;19603;0,0018;0,0049;0,0028;0,0021;0,0041;0,0041;0,0033;0,0034;0,0031;0,0044;0,0069;0,0112;0,0155;0,0239;0,0318;0,0761;0,152;0,2074;0,2527;0,1887
E87;Sonstige Störungen des Wasser- und Elektrolythaushaltes sowie des Säure-Basen-Gleichgewichts;30232;7,4705;6,5637;270;136;65;65;144;178;227;242;253;376;660;1039;1402;1784;2098;3603;5515;5403;4609;2163;0,0089;0,0045;0,0022;0,0022;0,0048;0,0059;0,0075;0,008;0,0084;0,0124;0,0218;0,0344;0,0464;0,059;0,0694;0,1192;0,1824;0,1787;0,1525;0,0715
E88;Sonstige Stoffwechselstörungen;1597;6,3043;6,2263;50;56;41;50;48;53;73;72;94;80;136;194;171;147;108;97;68;33;19;7;0,0313;0,0351;0,0257;0,0313;0,0301;0,0332;0,0457;0,0451;0,0589;0,0501;0,0852;0,1215;0,1071;0,092;0,0676;0,0607;0,0426;0,0207;0,0119;0,0044
E89;Endokrine und Stoffwechselstörungen nach medizinischen Maßnahmen, anderenorts nicht klassifiziert;725;7,069;6,8335;0;0;6;4;9;8;19;27;27;50;53;72;56;53;56;88;77;64;37;19;0,00;0,00;0,0083;0,0055;0,0124;0,011;0,0262;0,0372;0,0372;0,069;0,0731;0,0993;0,0772;0,0731;0,0772;0,1214;0,1062;0,0883;0,051;0,0262
E90;Ernährungs- und Stoffwechselstörungen bei anderenorts klassifizierten Krankheiten;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
F00;Demenz bei Alzheimer-Krankheit;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
F01;Vaskuläre Demenz;6633;9,425;7,1085;0;0;0;0;1;0;0;0;1;0;8;14;61;111;240;747;1605;1666;1498;681;0,00;0,00;0,00;0,00;0,0002;0,00;0,00;0,00;0,0002;0,00;0,0012;0,0021;0,0092;0,0167;0,0362;0,1126;0,242;0,2512;0,2258;0,1027
F02;Demenz bei anderenorts klassifizierten Krankheiten;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
F03;Nicht näher bezeichnete Demenz;5093;6,9319;5,9613;0;0;0;0;0;1;0;0;4;6;16;58;151;191;281;741;1164;1060;940;480;0,00;0,00;0,00;0,00;0,00;0,0002;0,00;0,00;0,0008;0,0012;0,0031;0,0114;0,0296;0,0375;0,0552;0,1455;0,2285;0,2081;0,1846;0,0942
F04;Organisches amnestisches Syndrom, nicht durch Alkohol oder andere psychotrope Substanzen bedingt;101;18,1584;20,8277;0;0;0;0;0;2;1;4;1;1;9;7;9;8;9;21;15;9;4;1;0,00;0,00;0,00;0,00;0,00;0,0198;0,0099;0,0396;0,0099;0,0099;0,0891;0,0693;0,0891;0,0792;0,0891;0,2079;0,1485;0,0891;0,0396;0,0099
F05;Delir, nicht durch Alkohol oder andere psychotrope Substanzen bedingt;14218;9,3123;8,0599;1;2;1;3;35;39;38;36;54;53;100;153;194;326;529;1371;2694;3371;3242;1976;0,0001;0,0001;0,0001;0,0002;0,0025;0,0027;0,0027;0,0025;0,0038;0,0037;0,007;0,0108;0,0136;0,0229;0,0372;0,0964;0,1895;0,2371;0,228;0,139
F06;Andere psychische Störungen aufgrund einer Schädigung oder Funktionsstörung des Gehirns oder einer körperlichen Krankheit;4064;6,9247;7,7833;0;1;3;10;17;27;32;39;50;65;126;232;323;342;332;649;725;515;396;180;0,00;0,0002;0,0007;0,0025;0,0042;0,0066;0,0079;0,0096;0,0123;0,016;0,031;0,0571;0,0795;0,0842;0,0817;0,1597;0,1784;0,1267;0,0974;0,0443
