drg;name;AnzahlHA;mwVwd;vwdStd;AnzKLHA;AntKLHA;AnzLLHA;AntLLHA
E65C;Chronisch-obstruktive Atemwegserkrankung ohne äußerst schwere CC, ohne starre Bronchoskopie, ohne komplizierende Diagnose, ohne FEV1 < 35%, Alter > 0 Jahre;125004;6,8576;4,18;7526;0,0602;5882;0,0471
E66A;Schweres Thoraxtrauma mit komplizierender Diagnose;11314;6,8062;4,9917;568;0,0502;939;0,083
E66B;Schweres Thoraxtrauma ohne komplizierende Diagnose;24796;4,5198;3,6255;3205;0,1293;1342;0,0541
E69A;Bronchitis und Asthma bronchiale, mehr als ein Belegungstag, mit äußerst schweren oder schweren CC, Alter < 1 Jahr ohne RS-Virus-Infektion oder bei Para- / Tetraplegie;1397;6,7738;4,6569;0;0,00;145;0,1038
E69B;Bronchitis und Asthma bronchiale, mehr als ein Belegungstag u. Alter > 55 Jahre oder mit äußerst schweren od. schw. CC, Alt. > 0 J., außer b. Para- / Tetraplegie od. ein Belegungstag od. ohne äußerst schw. od. schw. CC, Alt. < 1 J., m. RS-Virus-Infektion;61540;6,4787;3,7771;183;0,003;3735;0,0607
E69C;Bronchitis und Asthma bronchiale, ein Belegungstag oder ohne äußerst schwere oder schwere CC, Alter < 1 Jahr, ohne RS-Virus-Infektion;10322;3,5524;2,3034;1113;0,1078;557;0,054
E69D;Bronchitis und Asthma bronchiale, Alter > 0 Jahre und Alter < 6 Jahre und ein Belegungstag oder ohne äußerst schwere oder schwere CC oder Störungen der Atmung mit Ursache in der Neonatalperiode oder Alter < 16 Jahre außer bei Hyperventilation;37311;2,9382;2,1768;6629;0,1777;2741;0,0735
E69E;Bronchitis und Asthma bronchiale, Alter > 5 Jahre, ein Belegungstag oder Alter > 5 Jahre und Alter < 56 Jahre, ohne äußerst schwere oder schwere CC oder Beschwerden und Symptome d. Atmung ohne komplexe Diagnose, Alter > 15 Jahre oder bei Hyperventilation;70904;2,8088;2,5116;30276;0,427;3387;0,0478
E70A;Keuchhusten und akute Bronchiolitis, Alter < 3 Jahre;7271;4,7943;3,0819;310;0,0426;438;0,0602
E70B;Keuchhusten und akute Bronchiolitis, Alter > 2 Jahre;1148;6,2857;4,3879;89;0,0775;89;0,0775
E71A;Neubildungen der Atmungsorgane, mehr als ein Belegungstag, mit äußerst schweren CC oder starrer Bronchoskopie oder mit komplexer Biopsie der Lunge;33975;9,8972;8,1758;6018;0,1771;2533;0,0746
E71B;Neubildungen der Atmungsorgane, ein Belegungstag oder ohne äußerst schwere CC, ohne starre Bronchoskopie oder ohne komplexe Biopsie der Lunge;138816;4,2832;4,7001;44277;0,319;10423;0,0751
E73A;Pleuraerguss mit äußerst schweren CC;1235;13,5984;9,0654;170;0,1377;87;0,0704
E73B;Pleuraerguss ohne äußerst schwere CC;11327;6,4378;5,2725;1677;0,1481;535;0,0472
E74Z;Interstitielle Lungenerkrankung;22760;6,7571;5,8363;3306;0,1453;1547;0,068
E75A;Andere Krankheiten der Atmungsorgane mit äußerst schweren CC, Alter < 10 Jahre;95;7,9895;10,7728;24;0,2526;25;0,2632
E75B;Andere Krankheiten der Atmungsorgane mit äußerst schweren CC, Alter > 9 Jahre;2972;10,1507;6,9588;259;0,0871;210;0,0707
E75C;Andere Krankheiten der Atmungsorgane ohne äußerst schwere CC oder Beschwerden und Symptome der Atmung mit komplexer Diagnose;39370;4,8694;3,9237;8094;0,2056;2198;0,0558
E76A;Tuberkulose, mehr als 14 Belegungstage;3132;39,9336;32,6593;0;0,00;0;0,00
E76B;Tuberkulose bis 14 Belegungstage mit äußerst schweren oder schweren CC;504;6,9008;3,9199;85;0,1687;0;0,00
E76C;Tuberkulose bis 14 Belegungstage ohne äußerst schwere oder schwere CC oder Pneumothorax;15783;7,0898;5,1123;1385;0,0878;1071;0,0679
E77A;Infektionen und Entzündungen der Atmungsorgane mit bestimmter Diagnose oder äußerst schweren CC, mit intensivmedizinischer Komplexbehandlung im Kindesalter > 196 Aufwandspunkte;57;14,7719;10,3182;0;0,00;14;0,2456
E77B;Infektionen und Entzündungen der Atmungsorgane mit bestimmter Diagnose oder äußerst schweren CC, mit komplizierender Konstellation oder hochkomplexer Diagnose oder komplexer Diagnose bei Z.n. Organtransplantation;1495;19,5258;13,6859;184;0,1231;143;0,0957
E77C;Infektionen und Entzündungen der Atmungsorgane mit bestimmter Diagnose oder äußerst schweren CC, ohne komplizierende Konstellation, ohne hochkomplexe Diagnose, ohne komplexe Diagnose bei Z.n. Organtransplantation, mit äußerst schweren CC;3147;16,4048;10,5986;300;0,0953;283;0,0899
E77D;Infektionen und Entzündungen der Atmungsorgane mit bestimmter Diagnose oder äußerst schweren CC, mit Komplexbehandlung bei multiresistenten Erregern oder angeborenem Fehlbildungssyndrom;2185;15,1593;8,2317;46;0,0211;217;0,0993
E77E;Infektionen und Entzündungen der Atmungsorgane mit bestimmter Diagnose oder äußerst schweren CC, mit sehr komplexer Diagnose mit äußerst schweren oder schweren CC;4508;10,8811;7,502;555;0,1231;272;0,0603
E77F;Infektionen und Entzündungen der Atmungsorgane mit bestimmter Diagnose oder äußerst schweren CC;52584;10,786;7,0197;3279;0,0624;4540;0,0863
E77G;Infektionen und Entzündungen der Atmungsorgane ohne komplexe Diagnose, ohne äußerst schwere CC, bei Para- / Tetraplegie oder mit Komplexbehandlung bei multiresistenten Erregern;3287;9,6626;5,9003;186;0,0566;210;0,0639
E77H;Infektionen und Entzündungen der Atmungsorgane ohne komplexe Diagnose, ohne äußerst schwere CC, Alter < 1 Jahr, außer bei Para- / Tetraplegie, ohne Komplexbehandlung bei multiresistenten Erregern;5332;5,4651;3,2979;169;0,0317;303;0,0568
E77I;Infektionen und Entzündungen der Atmungsorgane ohne komplexe Diagnose, ohne äußerst schwere CC, Alter > 0 Jahre, außer bei Para- / Tetraplegie, ohne Komplexbehandlung bei multiresistenten Erregern;209050;7,3622;4,461;10085;0,0482;13015;0,0623
E78Z;Kontrolle oder Optimierung einer bestehenden häuslichen Beatmung, bis 2 Belegungstage;22624;1,2535;0,435;16888;0,7465;0;0,00
F01A;Implantation Kardioverter / Defibrillator (AICD), Drei-Kammer-Stimulation, mit zusätzlichem Herz- oder Gefäßeingriff oder Implantation eines myokardmodulierenden Systems;1510;13,6967;11,4522;168;0,1113;153;0,1013
F01B;Implantation Kardioverter / Defibrillator (AICD), Zwei-Kammer-Stimulation oder Defibrillator mit subkutaner Elektrode, mit zusätzlichem Herz- oder Gefäßeingriff;990;15,2212;11,9961;31;0,0313;97;0,098
F01C;Implantation Kardioverter / Defibrillator (AICD), Drei-Kammer-Stimulation, ohne zusätzlichen Herz- oder Gefäßeingriff;11529;8,2119;7,7081;2047;0,1776;794;0,0689
F01D;Implantation Kardioverter / Defibrillator (AICD), Ein-Kammer-Stimulation, mit zusätzlichem Herz- oder Gefäßeingriff;1279;14,9124;9,5065;82;0,0641;120;0,0938
F01E;Implantation Kardioverter / Defibrillator (AICD), Ein-Kammer-Stimulation oder Defibrillator mit subkutaner Elektrode, ohne zusätzlichen Herz- oder Gefäßeingriff, mit äußerst schweren CC;2670;14,6082;11,4094;362;0,1356;218;0,0816
F01F;Implantation Kardioverter / Defibrillator (AICD), Zwei-Kammer-Stimulation oder Defibrillator mit subkutaner Elektrode, ohne zusätzlichen Herz- oder Gefäßeingriff;6095;8,6486;7,835;1225;0,201;491;0,0806
F01G;Implantation Kardioverter / Defibrillator (AICD), Ein-Kammer-Stimulation, ohne zusätzlichen Herz- oder Gefäßeingriff, ohne äußerst schwere CC;8076;5,6547;5,0822;1070;0,1325;485;0,0601
F02A;Aggregatwechsel eines Kardioverters / Defibrillators (AICD), Zwei- oder Drei-Kammer-Stimulation;6048;3,4301;4,2474;1950;0,3224;352;0,0582
F02B;Aggregatwechsel eines Kardioverters / Defibrillators (AICD), Ein-Kammer-Stimulation;3345;3,2338;4,1289;1198;0,3581;192;0,0574
F03A;Herzklappeneingriff mit Herz-Lungen-Maschine mit komplizierender Konstellation oder pulmonale Endarteriektomie;4108;18,7084;13,3489;405;0,0986;482;0,1173
F03B;Herzklappeneingriff mit Herz-Lungen-Maschine, ohne komplizierende Konstellation, mit Dreifacheingriff oder Alter < 1 Jahr oder Eingriff in tiefer Hypothermie;812;14,9766;7,9422;18;0,0222;92;0,1133
F03C;Herzklappeneingriff mit Herz-Lungen-Maschine, ohne komplizierende Konstellation, Alter > 0 Jahre, ohne Eingriff in tiefer Hypothermie, mit Zweifacheingriff oder bei angeborenem Herzfehler, mit komplexem Eingriff;3817;17,4514;9,1462;52;0,0136;316;0,0828
F03D;Herzklappeneingriff mit Herz-Lungen-Maschine, ohne kompliz. Konst., Alter > 0 Jahre, ohne Eingr. in tiefer Hypothermie, mit Zweifacheingr. oder kompl. Eingr. oder bei Endokarditis oder bei angeborenem Herzfehler, Alter < 16 Jahre;202;10,396;6,4021;0;0,00;15;0,0743
F03E;Herzklappeneingriff mit Herz-Lungen-Maschine, ohne kompliz. Konstellation, ohne Eingriff in tiefer Hypothermie, Alter > 15 Jahre, mit Zweifacheingr. oder kompl. Eingriff oder bei Endokarditis oder bei angeborenem Herzfehler;12487;14,8191;7,7224;174;0,0139;901;0,0722
F03F;Herzklappeneingriff mit Herz-Lungen-Maschine, ohne komplizierende Konstellation, ohne Eingriff in tiefer Hypothermie, ohne Dreifach- / Zweifacheingriff, außer bei angeborenem Herzfehler, ohne komplexen Eingriff, außer bei Endokarditis, Alter > 15 J.;8620;12,544;5,7168;71;0,0082;533;0,0618
F05Z;Koronare Bypass-Operation mit invasiver kardiologischer Diagnostik oder intraoperativer Ablation, mit komplizierender Konstellation oder Karotiseingriff oder bestimmte Eingriffe mit Herz-Lungen-Maschine in tiefer Hypothermie;1549;15,0226;10,5339;163;0,1052;130;0,0839
F06A;Koronare Bypass-Operation mit mehrzeitigen komplexen OR-Prozeduren, mit komplizierender Konstellation oder Karotiseingriff;526;24,3327;23,4726;98;0,1863;90;0,1711
F06B;Koronare Bypass-Operation mit mehrzeitigen komplexen OR-Prozeduren, ohne komplizierende Konstellation, ohne Karotiseingriff;985;25,7898;17,4589;26;0,0264;120;0,1218
F06C;Koronare Bypass-Operation ohne mehrzeitige komplexe OR-Prozeduren, mit komplizierender Konstellation oder Karotiseingriff oder bei Infarkt oder mit Reoperation oder mit invasiver kardiologischer Diagnostik, mit intraoperativer Ablation;1788;14,6163;9,8222;155;0,0867;137;0,0766
F06D;Koronare Bypass-Operation ohne mehrzeitige komplexe OR-Prozeduren, ohne komplizierende Konstellation, ohne Karotiseingriff, mit invasiver kardiologischer Diagnostik, bei Infarkt oder mit Reoperation, ohne intraoperative Ablation;2171;15,7729;10,3062;42;0,0193;109;0,0502
F06E;Koronare Bypass-Operation ohne mehrzeitige komplexe OR-Prozeduren, ohne komplizierende Konstellation, ohne Karotiseingriff, mit invasiver kardiologischer Diagnostik oder mit intraoperativer Ablation, außer bei Infarkt, ohne Reoperation;4619;15,115;7,1343;37;0,008;298;0,0645
F06F;Koronare Bypass-Operation ohne mehrzeitige komplexe OR-Prozeduren, ohne komplizierende Konstellation, ohne Karotiseingriff, ohne invasive kardiologische Diagnostik, ohne intraoperative Ablation;25195;11,4989;5,2037;350;0,0139;1542;0,0612
F07A;Andere Eingriffe mit Herz-Lungen-Maschine, Alter < 1 Jahr oder mit komplizierender Konstellation oder komplexer Operation;4088;14,4432;9,3749;171;0,0418;342;0,0837
F07B;Andere Eingriffe mit Herz-Lungen-Maschine, Alter > 0 Jahre, ohne komplizierende Konstellation, ohne komplexe Operation;3620;12,1345;8,4801;169;0,0467;271;0,0749
F08A;Rekonstruktive Gefäßeingriffe ohne Herz-Lungen-Maschine, mit komplizierender Konstellation oder thorakoabdominalem Aneurysma oder komplexem Aorteneingriff;1028;21,0642;24,9224;333;0,3239;170;0,1654
F08B;Rekonstruktive Gefäßeingriffe ohne Herz-Lungen-Maschine, ohne komplizierende Konstellation, ohne thorakoabdominales Aneurysma, ohne komplexen Aorteneingriff, mit komplexem Eingriff, mit Mehretagen- oder Aorteneingriff oder Reoperation, mit äuß. schw. CC;7319;25,7353;18,4194;301;0,0411;1268;0,1732
F08C;Rekonstruktive Gefäßeingriffe ohne Herz-Lungen-Maschine, ohne kompliz. Konstell., ohne thorakoabd. Aneurysma, ohne kompl. Aorteneingr., mit kompl. Eingr., ohne Mehretagen- oder Aorteneingr., ohne Reoperation, mit äuß. schw. CC od. mit best. Aorteneingr.;3843;21,2436;13,8645;146;0,038;474;0,1233
F08D;Rekonstruktive Gefäßeingriffe ohne Herz-Lungen-Maschine, ohne kompliz. Konstell., ohne thorakoabd. Aneurysma, ohne kompl. Aorteneingr., mit kompl. Eingr., mit Mehretagen- oder Aorteneingr. oder Reoperation, ohne äuß. schw. CC, ohne best. Aorteneingr.;9933;14,2874;7,8576;123;0,0124;691;0,0696
F08E;Rekonstruktive Gefäßeingriffe ohne Herz-Lungen-Maschine, ohne kompliz. Konstell., ohne thorakoabd. Aneurysma, ohne kompl. Aorteneingr., mit kompl. Eingr., ohne Mehretagen- oder Aorteneingr., ohne Reoperation, ohne äuß. schw. CC, ohne best. Aorteneingr.;14068;12,0701;6,7515;197;0,014;966;0,0687
F08F;Rekonstruktive Gefäßeingriffe ohne Herz-Lungen-Maschine, ohne komplizierende Konstellation, ohne thorakoabdominales Aneurysma, ohne komplexen Aorteneingriff, ohne komplexen Eingriff, ohne bestimmten Aorteneingriff;8011;8,9275;5,615;360;0,0449;541;0,0675
F09A;Andere kardiothorakale Eingriffe ohne Herz-Lungen-Maschine, mit komplizierender Konstellation oder Alter < 16 Jahre;214;11,6869;11,8357;35;0,1636;30;0,1402
F09B;Andere kardiothorakale Eingriffe ohne Herz-Lungen-Maschine, ohne komplizierende Konstellation, Alter > 15 Jahre, mit äußerst schweren CC;1735;10,1372;10,0174;615;0,3545;188;0,1084
F09C;Andere kardiothorakale Eingriffe ohne Herz-Lungen-Maschine, ohne komplizierende Konstellation, Alter > 15 Jahre, ohne äußerst schwere CC;1031;7,2124;5,4438;144;0,1397;67;0,065
F12A;Implantation eines Herzschrittmachers, Drei-Kammersystem mit äußerst schweren CC oder mit ablativen Maßnahmen oder PTCA;783;14,2299;9,9046;50;0,0639;76;0,0971
F12B;Implantation eines Herzschrittmachers, Drei-Kammersystem ohne äuß. schw. CC, oh. ablative Maßnahme, oh. PTCA oder Implantation eines Herzschrittmachers, Zwei-Kammersystem, oh. kompl. Eingriff, Alter > 15 J., m. Sondenentfernung m. Excimer-Laser;1910;7,0921;6,1134;122;0,0639;166;0,0869
F12C;Implantation eines Herzschrittmachers, Zwei-Kammersystem, Alter < 16 Jahre;84;7,5595;5,4824;2;0,0238;11;0,131
F12D;Implantation eines Herzschrittmachers, Zwei-Kammersystem, Alter > 15 Jahre, mit komplexem Eingriff;2991;11,2287;6,6246;40;0,0134;238;0,0796
F12E;Implantation eines Herzschrittmachers, Zwei-Kammersystem, ohne kompl. Eingr., Alter > 15 Jahre, ohne Sondenentfernung mit Excimer-Laser, mit äußerst schweren CC oder isolierter offen chirurgischer Sondenimplantation;6255;13,4836;8,6564;368;0,0588;492;0,0787
F12F;Implantation eines Herzschrittmachers, Ein-Kammersystem, mit invasiver kardiologischer Diagnostik bei bestimmten Eingriffen oder Alter < 16 Jahre;3980;8,9691;6,3321;417;0,1048;238;0,0598
F12G;Implantation eines Herzschrittmachers, Zwei-Kammersystem, ohne komplexen Eingriff, Alter > 15 Jahre, ohne Sondenentfernung mit Excimer-Laser, ohne äußerst schwere CC oder isolierte offen chirurgische Sondenimplantation;41952;6,2285;4,7502;4725;0,1126;2470;0,0589
F12H;Implantation eines Herzschrittmachers, Ein-Kammersystem, ohne invasive kardiologische Diagnostik bei bestimmten Eingriffen, Alter > 15 Jahre, mit Implantation eines Ereignisrekorders;9953;4,7871;4,559;3352;0,3368;409;0,0411
F12I;Implantation eines Herzschrittmachers, Ein-Kammersystem, ohne invasive kardiologische Diagnostik bei bestimmten Eingriffen, Alter > 15 Jahre, ohne Implantation eines Ereignisrekorders;11186;8,2622;6,8485;2376;0,2124;696;0,0622
F13A;Amputation bei Kreislauferkrankungen an oberer Extremität und Zehen mit äußerst schweren CC und mehrzeitigen Revisions- oder Rekonstruktionseingriffen;5954;33,2697;20,2847;172;0,0289;1071;0,1799
F13B;Amputation bei Kreislauferkrankungen an oberer Extremität und Zehen mit äußerst schweren CC, ohne mehrzeitige Revisions- oder Rekonstruktionseingriffe;1087;14,8353;9,4938;95;0,0874;55;0,0506
F13C;Amputation bei Kreislauferkrankungen an oberer Extremität und Zehen ohne äußerst schwere CC;2856;12,18;8,6542;219;0,0767;204;0,0714
F14A;Komplexe oder mehrfache Gefäßeingriffe außer große rekonstruktive Eingriffe mit komplizierender Konstellation oder Revision oder komplizierender Diagnose oder Alter < 3 Jahre oder bestimmte beidseitige Gefäßeingriffe, mit äußerst schweren CC;4458;21,2095;15,4386;292;0,0655;655;0,1469
F14B;Komplexe oder mehrfache Gefäßeingriffe außer große rekonstruktive Eingriffe mit komplizierender Konstellation oder Revision oder komplizierender Diagnose oder Alter < 3 Jahre oder bestimmte beidseitige Gefäßeingriffe, ohne äußerst schwere CC;8633;11,9874;7,9159;705;0,0817;630;0,073
F15Z;Perkutane Koronarangioplastie m. komplizierender Konstellation od. m. komplexer Diagn. u. hochkompl. Intervention od. m. perkut. Angioplastie, Alt. < 16 J. od. inv. kardiolog. Diagnostik, mehr als 2 Beleg.tage, m. kompliz. Konstellation od. Endokarditis;2916;20,3062;16,8499;686;0,2353;370;0,1269
F17A;Wechsel eines Herzschrittmachers, Mehrkammersystem oder Alter < 16 Jahre;12953;2,5381;2,7968;5637;0,4352;565;0,0436
F17B;Wechsel eines Herzschrittmachers, Einkammersystem, Alter > 15 Jahre;5652;2,9437;3,5356;2176;0,385;378;0,0669
F18A;Revision eines Herzschrittmachers oder Kardioverters / Defibrillators (AICD) ohne Aggregatwechsel, Alter < 16 Jahre oder mit äußerst schweren CC oder mit Sondenentfernung mit Excimer-Laser, mit komplexem Eingriff;1414;13,6789;12,1842;255;0,1803;133;0,0941
F18B;Revision eines Herzschrittmachers oder Kardioverters / Defibrillators (AICD) ohne Aggregatwechsel, Alter < 16 Jahre oder mit äußerst schweren CC oder mit Sondenentfernung mit Excimer-Laser, ohne komplexen Eingriff;445;10,2629;9,0395;82;0,1843;30;0,0674
F18C;Revision eines Herzschrittmachers oder Kardioverters / Defibrillators (AICD) ohne Aggregatwechsel, Alter > 15 Jahre, ohne äußerst schwere CC, ohne Sondenentfernung mit Excimer-Laser, mit komplexem Eingriff;3424;4,9387;4,3742;536;0,1565;234;0,0683
F18D;Revision eines Herzschrittmachers oder Kardioverters / Defibrillators (AICD) ohne Aggregatwechsel, Alter > 15 Jahre, ohne äußerst schwere CC, ohne Sondenentfernung mit Excimer-Laser, ohne komplexen Eingriff;3982;2,9591;3,1285;1784;0,448;155;0,0389
F19A;Andere perkutan-transluminale Intervention an Herz, Aorta und Lungengefäßen mit äußerst schweren CC;1095;12,6621;11,6721;286;0,2612;128;0,1169
F19B;Andere perkutan-transluminale Intervention an Herz, Aorta und Lungengefäßen oder Radiofrequenzablation über A. renalis, ohne äußerst schwere CC bei anderen perkutan-transluminalen Interventionen an Herz, Aorta und Lungengefäßen, Alter < 16 Jahre;1199;2,8565;2,0797;79;0,0659;78;0,0651
F19C;Andere perkutan-transluminale Intervention an Herz, Aorta und Lungengefäßen, ohne äußerst schwere CC, Alter > 15 Jahre;3495;5,0498;4,5209;493;0,1411;216;0,0618
F19D;Radiofrequenzablation über A. renalis, Alter > 15 Jahre;1148;4,3807;4,7927;198;0,1725;172;0,1498
F20Z;Beidseitige Unterbindung und Stripping von Venen mit bestimmter Diagnose oder äußerst schweren oder schweren CC;236;7,4449;11,0981;78;0,3305;19;0,0805
F21A;Andere OR-Prozeduren bei Kreislauferkrankungen, mit hochkomplexem Eingriff;5807;28,2118;18,2718;322;0,0555;1038;0,1787
F21B;Andere OR-Prozeduren bei Kreislauferkrankungen, ohne hochkomplexen Eingriff, mit komplexem Eingriff;1917;15,0042;15,0249;465;0,2426;241;0,1257
F21C;Andere OR-Prozeduren bei Kreislauferkrankungen, ohne hochkomplexen Eingriff, ohne komplexen Eingriff;10805;13,923;10,1623;1042;0,0964;1031;0,0954
F24A;Perkutane Koronarangioplastie mit komplexer Diagnose und hochkomplexer Intervention oder mit perkutaner Angioplastie, Alter > 15 Jahre, mit äußerst schweren CC;3803;13,2569;8,8753;349;0,0918;342;0,0899
F24B;Perkutane Koronarangioplastie mit komplexer Diagnose und hochkomplexer Intervention oder mit perkutaner Angioplastie, Alter > 15 Jahre, ohne äußerst schwere CC;23738;6,2675;3,8363;1406;0,0592;1347;0,0567
F27A;Verschiedene Eingriffe bei Diabetes mellitus mit Komplikationen, mit Gefäßeingriff;1604;28,5387;17,8375;36;0,0224;280;0,1746
F27B;Verschiedene Eingriffe bei Diabetes mellitus mit Komplikationen, ohne Gefäßeingriff, mit äußerst schweren CC oder komplexer Arthrodese des Fußes;5112;19,1747;13,4556;267;0,0522;517;0,1011
F27C;Verschiedene Eingriffe bei Diabetes mellitus mit Komplikationen, ohne Gefäßeingriff, ohne äußerst schwere CC, ohne komplexe Arthrodese des Fußes;12493;14,3472;9,7742;878;0,0703;1023;0,0819
F28A;Amputation mit zusätzlichem Gefäßeingriff oder mit Hauttransplantation, mit äußerst schweren oder schweren CC;8466;39,8029;26,7345;324;0,0383;2410;0,2847
F28B;Amputation bei Kreislauferkrankungen außer an oberer Extremität und Zehen, ohne Gefäßeingriff, ohne Hauttransplantation, mit äußerst schweren oder schweren CC;6605;22,7671;15,1606;349;0,0528;868;0,1314
F28C;Amputation bei Kreislauferkrankungen außer an oberer Extremität und Zehen, ohne Gefäßeingriff, ohne äußerst schwere oder schwere CC;2141;18,354;13,1985;58;0,0271;225;0,1051
F29Z;Frührehabilitation bei Krankheiten und Störungen des Kreislaufsystems, mit bestimmter OR-Prozedur, außer kardiothorakale Eingriffe;52;45,00;24,5533;0;0,00;0;0,00
F30Z;Operation bei komplexem angeborenen Herzfehler oder Hybridchirurgie bei Kindern;585;14,1009;7,1243;2;0,0034;57;0,0974
F36A;Intensivmedizinische Komplexbehandlung bei Krankheiten und Störungen des Kreislaufsystems > 1176 / 1104 Aufwandspunkte mit bestimmter OR-Prozedur oder > 588 / 552 Aufwandspunkte mit endovaskulärer Implantation von Stent-Prothesen an der Aorta;1793;41,9297;23,3381;0;0,00;523;0,2917
F36B;Intensivmed. Komplexbeh. > 588 / 552 P. u. < 1177 / 1105 P. m. best. OR-Proz. od. kompl. Eingr. od. > 1176 / 1104 P. oh. best. OR-Proz. m. kompl. Eingr., oh. mehrzeit. kompl. OR-Proz. b. Krankh. u. Störungen d. Kreislaufsyst.;5010;32,3026;20,6324;45;0,009;1069;0,2134
F37Z;Längerer stationärer Aufenthalt vor Transplantation bei hoher Dringlichkeitsstufe bei Krankheiten und Störungen des Kreislaufsystems;47;88,7872;62,9741;0;0,00;0;0,00
F39A;Unterbindung und Stripping von Venen mit beidseitigem Eingriff oder bestimmter Diagnose oder äußerst schweren oder schweren CC;12821;3,6589;4,8614;3955;0,3085;839;0,0654
F39B;Unterbindung und Stripping von Venen ohne beidseitigen Eingriff, ohne bestimmte Diagnose, ohne äußerst schwere oder schwere CC;56415;1,7835;1,6788;33201;0,5885;1071;0,019
F41A;Invasive kardiologische Diagnostik bei akutem Myokardinfarkt mit äußerst schweren CC;998;15,2204;10,5033;188;0,1884;48;0,0481
F41B;Invasive kardiologische Diagnostik bei akutem Myokardinfarkt ohne äußerst schwere CC;21076;5,0202;3,8543;4234;0,2009;967;0,0459
F42Z;Operation b. kompl. angeb. Herzfehler, Hybridchirurgie, best. Herzklappeneingriffe od. and. Eingriffe m. Herz-Lungen-Maschine m. invas. kardiolog. Diagnostik bei Kindern od. best. rekonstruktive Gefäßeingriffe oh. Herz-Lungen-Maschine m. kompl. Eingriff;1383;15,4447;12,2122;130;0,094;121;0,0875
F43A;Beatmung > 24 Stunden bei Krankheiten und Störungen des Kreislaufsystems, Alter < 6 Jahre oder intensivmedizinische Komplexbehandlung > 392 / 552 Aufwandspunkte;1383;26,765;16,6167;44;0,0318;319;0,2307
F43B;Beatmung > 24 Stunden bei Krankheiten und Störungen des Kreislaufsystems, Alter > 5 Jahre, ohne intensivmedizinische Komplexbehandlung > 392 / 552 Aufwandspunkte, mit komplizierender Konstellation oder bestimmter OR-Prozedur;3230;15,9601;14,9049;852;0,2638;390;0,1207
F43C;Beatmung > 24 Stunden bei Krankheiten und Störungen des Kreislaufsystems, Alter > 5 Jahre, ohne intensivmedizinische Komplexbehandlung > 392 / 552 Aufwandspunkte, ohne komplizierende Konstellation, ohne bestimmte OR-Prozedur;11134;11,0163;9,2087;2905;0,2609;756;0,0679
F45Z;Frührehabilitation bei Krankheiten und Störungen des Kreislaufsystems;161;31,236;19,8556;0;0,00;0;0,00
F48Z;Geriatrische frührehabilitative Komplexbehandlung bei Krankheiten und Störungen des Kreislaufsystems;32611;22,2641;7,0419;0;0,00;1568;0,0481
F49A;Invasive kardiologische Diagnostik außer bei akutem Myokardinfarkt, mit äußerst schweren CC, mit komplexem Eingriff;563;15,8046;11,5602;104;0,1847;63;0,1119
F49B;Invasive kardiologische Diagnostik außer bei akutem Myokardinfarkt, mit äußerst schweren CC, ohne komplexen Eingriff;3488;16,248;10,5491;317;0,0909;389;0,1115
F49C;Invasive kardiologische Diagnostik außer bei akutem Myokardinfarkt, ohne äußerst schwere CC, Alter < 15 Jahre;1312;2,9512;3,2743;119;0,0907;93;0,0709
F49D;Invasive kardiologische Diagnostik außer bei akutem Myokardinfarkt, ohne äußerst schwere CC, Alter > 14 Jahre, mit kardialem Mapping oder schweren CC;31555;9,1253;6,8341;5416;0,1716;1916;0,0607
F49E;Invasive kardiologische Diagnostik außer bei akutem Myokardinfarkt, ohne äußerst schwere CC, Alter > 14 Jahre, ohne kardiales Mapping, ohne schwere CC, mit komplexer Diagnose;34412;7,3945;5,1537;6502;0,1889;1723;0,0501
F49F;Invasive kardiologische Diagnostik außer bei akutem Myokardinfarkt, ohne äußerst schwere CC, Alter > 14 Jahre, ohne kardiales Mapping, ohne schwere CC, ohne komplexe Diagnose, mit bestimmtem Eingriff;25687;4,3039;3,8043;7442;0,2897;1716;0,0668
F49G;Invasive kardiologische Diagnostik außer bei akutem Myokardinfarkt, ohne äußerst schwere CC, Alter > 14 Jahre, ohne kardiales Mapping, ohne schwere CC, ohne komplexe Diagnose, ohne bestimmten Eingriff;214256;3,2049;2,9215;82033;0,3829;10995;0,0513
F50A;Ablative Maßnahmen bei Tachyarrhythmie mit komplexer Ablation im linken Vorhof oder hochkomplexer Ablation oder Implantation eines Ereignisrekorders;27965;4,1841;3,2547;1512;0,0541;2113;0,0756
F50B;Ablative Maßnahmen bei Tachyarrhythmie mit komplexer Ablation, ohne komplexe Ablation im linken Vorhof, ohne hochkomplexe Ablation, ohne Implantation eines Ereignisrekorders;8385;4,4153;4,2043;1254;0,1496;765;0,0912
F50C;Ablative Maßnahmen bei Tachyarrhythmie ohne komplexe Ablation, ohne Implantation eines Ereignisrekorders, mit transseptaler Linksherz-Katheteruntersuchung;1463;3,2427;3,2848;310;0,2119;61;0,0417
F50D;Ablative Maßnahmen bei Tachyarrhythmie ohne komplexe Ablation, ohne Implantation eines Ereignisrekorders, ohne transseptale Linksherz-Katheteruntersuchung;21642;3,4632;3,6659;6003;0,2774;1520;0,0702
F51A;Endovaskuläre Implantation von Stent-Prothesen an der Aorta, thorakal oder mit bestimmter Aortenprothesenkombination;1381;12,0036;9,6859;50;0,0362;139;0,1007
