kategorie;kategoriename;Anzahl BA;VwdMw;stdVwd;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
C66;Bösartige Neubildung des Ureters;117;6,6496;6,2288;0;0;0;0;0;0;0;0;0;0;0;3;7;10;20;21;26;21;6;3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0256;0,0598;0,0855;0,1709;0,1795;0,2222;0,1795;0,0513;0,0256
C67;Bösartige Neubildung der Harnblase;8300;4,4688;3,7746;0;0;0;0;0;2;9;9;24;58;198;329;601;854;959;1617;1709;1097;633;201;0,00;0,00;0,00;0,00;0,00;0,0002;0,0011;0,0011;0,0029;0,007;0,0239;0,0396;0,0724;0,1029;0,1155;0,1948;0,2059;0,1322;0,0763;0,0242
C68;Bösartige Neubildung sonstiger und nicht näher bezeichneter Harnorgane;92;4,50;3,3529;0;0;0;0;0;0;1;0;0;0;0;4;4;14;17;15;20;7;7;3;0,00;0,00;0,00;0,00;0,00;0,00;0,0109;0,00;0,00;0,00;0,00;0,0435;0,0435;0,1522;0,1848;0,163;0,2174;0,0761;0,0761;0,0326
C69;Bösartige Neubildung des Auges und der Augenanhangsgebilde;25;2,64;2,6907;0;0;0;0;0;0;0;0;0;0;4;0;2;3;1;3;4;4;2;2;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,16;0,00;0,08;0,12;0,04;0,12;0,16;0,16;0,08;0,08
C70;Bösartige Neubildung der Meningen;3;26,00;18,0831;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,3333;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3333;0,00;0,00;0,00;0,3333;0,00
C71;Bösartige Neubildung des Gehirns;188;8,0585;10,3986;0;0;0;0;0;0;8;3;9;20;2;17;32;24;42;15;8;6;2;0;0,00;0,00;0,00;0,00;0,00;0,00;0,0426;0,016;0,0479;0,1064;0,0106;0,0904;0,1702;0,1277;0,2234;0,0798;0,0426;0,0319;0,0106;0,00
C72;Bösartige Neubildung des Rückenmarkes, der Hirnnerven und anderer Teile des Zentralnervensystems;6;10,3333;5,7504;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;1;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,1667;0,00;0,00;0,00;0,1667;0,1667;0,1667;0,00;0,1667;0,00;0,1667;0,00;0,00;0,00
C73;Bösartige Neubildung der Schilddrüse;644;3,1056;1,0734;0;0;0;1;10;21;34;51;51;84;67;78;71;52;42;42;19;12;8;1;0,00;0,00;0,00;0,0016;0,0155;0,0326;0,0528;0,0792;0,0792;0,1304;0,104;0,1211;0,1102;0,0807;0,0652;0,0652;0,0295;0,0186;0,0124;0,0016
C74;Bösartige Neubildung der Nebenniere;3;2,00;1,7321;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0,00;0,00;0,00;0,3333;0,00;0,00;0,00;0,00;0,00;0,3333;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3333;0,00;0,00
C75;Bösartige Neubildung sonstiger endokriner Drüsen und verwandter Strukturen;8;8,50;6,2564;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,00;0,00;0,00;0,75;0,00;0,00
C76;Bösartige Neubildung sonstiger und ungenau bezeichneter Lokalisationen;111;3,9459;2,3153;0;0;0;0;0;0;0;2;0;1;0;2;7;5;3;13;19;32;21;6;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,018;0,00;0,009;0,00;0,018;0,0631;0,045;0,027;0,1171;0,1712;0,2883;0,1892;0,0541
C77;Sekundäre und nicht näher bezeichnete bösartige Neubildung der Lymphknoten;299;5,9498;9,5387;0;0;0;0;1;0;3;1;8;6;22;37;39;35;36;41;30;28;9;3;0,00;0,00;0,00;0,00;0,0033;0,00;0,01;0,0033;0,0268;0,0201;0,0736;0,1237;0,1304;0,1171;0,1204;0,1371;0,1003;0,0936;0,0301;0,01
C78;Sekundäre bösartige Neubildung der Atmungs- und Verdauungsorgane;233;6,0343;6,0607;0;0;0;0;0;0;0;0;0;5;9;4;19;16;20;41;70;29;11;9;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0215;0,0386;0,0172;0,0815;0,0687;0,0858;0,176;0,3004;0,1245;0,0472;0,0386
C79;Sekundäre bösartige Neubildung an sonstigen und nicht näher bezeichneten Lokalisationen;536;10,8358;9,2044;0;0;0;0;0;0;3;1;1;8;16;43;48;74;66;88;102;57;22;7;0,00;0,00;0,00;0,00;0,00;0,00;0,0056;0,0019;0,0019;0,0149;0,0299;0,0802;0,0896;0,1381;0,1231;0,1642;0,1903;0,1063;0,041;0,0131
C80;Bösartige Neubildung ohne Angabe der Lokalisation;160;8,5063;8,9885;0;0;0;0;0;0;0;1;6;1;6;11;21;26;22;26;18;9;10;3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0063;0,0375;0,0063;0,0375;0,0688;0,1313;0,1625;0,1375;0,1625;0,1125;0,0563;0,0625;0,0188
C81;Hodgkin-Lymphom [Lymphogranulomatose];47;5,4894;5,8565;0;0;0;0;1;2;6;4;1;1;6;7;2;5;4;3;2;3;0;0;0,00;0,00;0,00;0,00;0,0213;0,0426;0,1277;0,0851;0,0213;0,0213;0,1277;0,1489;0,0426;0,1064;0,0851;0,0638;0,0426;0,0638;0,00;0,00
C82;Follikuläres Lymphom;83;5,0723;5,8618;0;0;0;0;0;0;1;0;0;4;4;7;1;3;13;18;12;4;10;6;0,00;0,00;0,00;0,00;0,00;0,00;0,012;0,00;0,00;0,0482;0,0482;0,0843;0,012;0,0361;0,1566;0,2169;0,1446;0,0482;0,1205;0,0723
C83;Nicht follikuläres Lymphom;299;6,5251;7,5845;0;0;0;0;0;2;1;2;3;2;0;15;39;11;29;37;66;63;18;11;0,00;0,00;0,00;0,00;0,00;0,0067;0,0033;0,0067;0,01;0,0067;0,00;0,0502;0,1304;0,0368;0,097;0,1237;0,2207;0,2107;0,0602;0,0368
C84;Reifzellige T/NK-Zell-Lymphome;15;11,00;15,0949;0;0;0;0;0;0;0;0;0;0;0;3;1;4;2;1;1;2;0;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,0667;0,2667;0,1333;0,0667;0,0667;0,1333;0,00;0,0667
C85;Sonstige und nicht näher bezeichnete Typen des Non-Hodgkin-Lymphoms;223;5,8879;7,7918;0;0;0;0;0;1;0;2;1;3;9;12;15;18;23;33;56;30;19;1;0,00;0,00;0,00;0,00;0,00;0,0045;0,00;0,009;0,0045;0,0135;0,0404;0,0538;0,0673;0,0807;0,1031;0,148;0,2511;0,1345;0,0852;0,0045
C86;Weitere spezifizierte T/NK-Zell-Lymphome;7;10,4286;9,9809;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;0;2;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1429;0,1429;0,00;0,1429;0,2857;0,00;0,2857;0,00;0,00
C88;Bösartige immunproliferative Krankheiten;27;6,963;6,1861;0;0;0;0;0;0;0;0;0;2;0;1;2;0;1;7;5;5;4;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0741;0,00;0,037;0,0741;0,00;0,037;0,2593;0,1852;0,1852;0,1481;0,00
C90;Plasmozytom und bösartige Plasmazellen-Neubildungen;245;9,8286;9,1881;0;0;0;0;0;0;0;0;0;2;4;6;15;9;43;62;66;28;9;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0082;0,0163;0,0245;0,0612;0,0367;0,1755;0,2531;0,2694;0,1143;0,0367;0,0041
C91;Lymphatische Leukämie;246;5,8171;6,513;0;0;0;1;0;0;0;0;0;1;7;2;6;25;25;51;50;45;26;7;0,00;0,00;0,00;0,0041;0,00;0,00;0,00;0,00;0,00;0,0041;0,0285;0,0081;0,0244;0,1016;0,1016;0,2073;0,2033;0,1829;0,1057;0,0285
C92;Myeloische Leukämie;85;8,0235;6,7099;0;0;0;0;0;0;0;0;0;0;1;4;3;1;8;25;13;17;13;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0118;0,0471;0,0353;0,0118;0,0941;0,2941;0,1529;0,20;0,1529;0,00
C93;Monozytenleukämie;8;5,125;4,8237;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;2;1;1;0;0,00;0,00;0,00;0,00;0,00;0,125;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,125;0,125;0,125;0,25;0,125;0,125;0,00
C94;Sonstige Leukämien näher bezeichneten Zelltyps;11;11,4545;12,4287;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;5;3;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0909;0,00;0,00;0,00;0,0909;0,0909;0,4545;0,2727;0,00;0,00
C95;Leukämie nicht näher bezeichneten Zelltyps;-999;-999,00;-999,00;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
C96;Sonstige und nicht näher bezeichnete bösartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes;5;3,60;5,2726;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,20;0,40;0,00;0,00;0,00;0,00;0,00;0,20
C97;Bösartige Neubildungen als Primärtumoren an mehreren Lokalisationen;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D00;Carcinoma in situ der Mundhöhle, des Ösophagus und des Magens;18;2,4444;3,4338;0;0;0;0;0;0;0;0;0;0;0;1;1;6;1;5;3;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0556;0,0556;0,3333;0,0556;0,2778;0,1667;0,00;0,0556;0,00
D01;Carcinoma in situ sonstiger und nicht näher bezeichneter Verdauungsorgane;18;2,8889;2,2463;0;0;0;0;0;0;0;0;0;3;2;7;0;2;0;3;1;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1667;0,1111;0,3889;0,00;0,1111;0,00;0,1667;0,0556;0,00;0,00;0,00
D02;Carcinoma in situ des Mittelohres und des Atmungssystems;20;2,55;4,2855;0;0;0;0;0;0;0;0;1;1;2;2;0;1;4;2;6;1;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,05;0,05;0,10;0,10;0,00;0,05;0,20;0,10;0,30;0,05;0,00;0,00
D03;Melanoma in situ;43;3,3953;1,5452;0;0;0;0;0;0;0;0;0;1;2;1;3;4;5;11;8;2;5;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0233;0,0465;0,0233;0,0698;0,093;0,1163;0,2558;0,186;0,0465;0,1163;0,0233
D04;Carcinoma in situ der Haut;107;4,1869;2,924;0;0;0;0;0;0;0;0;0;1;1;2;2;3;5;20;29;27;13;4;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0093;0,0093;0,0187;0,0187;0,028;0,0467;0,1869;0,271;0,2523;0,1215;0,0374
D05;Carcinoma in situ der Brustdrüse [Mamma];392;3,2219;2,4125;0;0;0;0;0;0;1;3;13;21;36;82;45;54;60;37;31;6;2;1;0,00;0,00;0,00;0,00;0,00;0,00;0,0026;0,0077;0,0332;0,0536;0,0918;0,2092;0,1148;0,1378;0,1531;0,0944;0,0791;0,0153;0,0051;0,0026
D06;Carcinoma in situ der Cervix uteri;487;3,0924;2,4907;0;0;0;0;0;13;68;88;70;69;66;51;17;24;10;5;1;4;1;0;0,00;0,00;0,00;0,00;0,00;0,0267;0,1396;0,1807;0,1437;0,1417;0,1355;0,1047;0,0349;0,0493;0,0205;0,0103;0,0021;0,0082;0,0021;0,00
D07;Carcinoma in situ sonstiger und nicht näher bezeichneter Genitalorgane;45;3,4667;5,5946;0;0;0;0;0;1;2;1;3;2;4;4;1;5;4;6;7;5;0;0;0,00;0,00;0,00;0,00;0,00;0,0222;0,0444;0,0222;0,0667;0,0444;0,0889;0,0889;0,0222;0,1111;0,0889;0,1333;0,1556;0,1111;0,00;0,00
D09;Carcinoma in situ sonstiger und nicht näher bezeichneter Lokalisationen;104;4,0769;2,1842;0;0;0;0;0;0;1;0;1;0;3;5;12;13;10;17;19;18;5;0;0,00;0,00;0,00;0,00;0,00;0,00;0,0096;0,00;0,0096;0,00;0,0288;0,0481;0,1154;0,125;0,0962;0,1635;0,1827;0,1731;0,0481;0,00
D10;Gutartige Neubildung des Mundes und des Pharynx;245;1,8449;1,7011;0;0;1;5;5;5;14;9;8;7;20;28;26;41;28;22;15;6;2;3;0,00;0,00;0,0041;0,0204;0,0204;0,0204;0,0571;0,0367;0,0327;0,0286;0,0816;0,1143;0,1061;0,1673;0,1143;0,0898;0,0612;0,0245;0,0082;0,0122
D11;Gutartige Neubildung der großen Speicheldrüsen;708;3,0537;1,5424;0;1;2;2;7;17;17;21;38;56;76;76;92;85;80;69;49;16;3;1;0,00;0,0014;0,0028;0,0028;0,0099;0,024;0,024;0,0297;0,0537;0,0791;0,1073;0,1073;0,1299;0,1201;0,113;0,0975;0,0692;0,0226;0,0042;0,0014
D12;Gutartige Neubildung des Kolons, des Rektums, des Analkanals und des Anus;735;2,2327;2,8268;0;0;0;0;1;3;3;1;6;23;35;58;49;92;101;144;112;65;35;7;0,00;0,00;0,00;0,00;0,0014;0,0041;0,0041;0,0014;0,0082;0,0313;0,0476;0,0789;0,0667;0,1252;0,1374;0,1959;0,1524;0,0884;0,0476;0,0095
D13;Gutartige Neubildung sonstiger und ungenau bezeichneter Teile des Verdauungssystems;63;3,3651;4,3415;0;0;0;0;0;0;1;1;1;4;4;2;7;8;6;10;8;6;3;2;0,00;0,00;0,00;0,00;0,00;0,00;0,0159;0,0159;0,0159;0,0635;0,0635;0,0317;0,1111;0,127;0,0952;0,1587;0,127;0,0952;0,0476;0,0317
D14;Gutartige Neubildung des Mittelohres und des Atmungssystems;283;1,4488;0,8337;0;0;0;2;2;4;8;11;9;16;33;25;42;31;25;39;19;14;3;0;0,00;0,00;0,00;0,0071;0,0071;0,0141;0,0283;0,0389;0,0318;0,0565;0,1166;0,0883;0,1484;0,1095;0,0883;0,1378;0,0671;0,0495;0,0106;0,00
D15;Gutartige Neubildung sonstiger und nicht näher bezeichneter intrathorakaler Organe;3;3,3333;1,5275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3333;0,6667;0,00;0,00;0,00;0,00
D16;Gutartige Neubildung des Knochens und des Gelenkknorpels;172;3,4884;2,5649;0;0;0;9;17;12;8;4;9;12;12;25;17;12;15;8;9;0;2;1;0,00;0,00;0,00;0,0523;0,0988;0,0698;0,0465;0,0233;0,0523;0,0698;0,0698;0,1453;0,0988;0,0698;0,0872;0,0465;0,0523;0,00;0,0116;0,0058
D17;Gutartige Neubildung des Fettgewebes;518;1,8359;1,2785;0;1;0;3;3;7;10;19;24;42;67;74;68;60;45;51;30;9;4;1;0,00;0,0019;0,00;0,0058;0,0058;0,0135;0,0193;0,0367;0,0463;0,0811;0,1293;0,1429;0,1313;0,1158;0,0869;0,0985;0,0579;0,0174;0,0077;0,0019
D18;Hämangiom und Lymphangiom;77;2,6494;1,8336;10;5;2;1;1;1;2;4;6;2;6;7;6;4;5;5;4;3;1;2;0,1299;0,0649;0,026;0,013;0,013;0,013;0,026;0,0519;0,0779;0,026;0,0779;0,0909;0,0779;0,0519;0,0649;0,0649;0,0519;0,039;0,013;0,026
D19;Gutartige Neubildung des mesothelialen Gewebes;5;3,80;2,5884;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,20;0,00;0,20;0,20;0,00;0,00;0,20;0,00;0,00;0,00;0,00;0,00;0,00
D20;Gutartige Neubildung des Weichteilgewebes des Retroperitoneums und des Peritoneums;10;4,90;2,5582;0;0;0;0;0;0;1;1;1;0;2;1;0;0;1;1;2;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,10;0,10;0,10;0,00;0,20;0,10;0,00;0,00;0,10;0,10;0,20;0,00;0,00;0,00
D21;Sonstige gutartige Neubildungen des Bindegewebes und anderer Weichteilgewebe;83;2,4699;2,3235;2;1;1;2;4;1;0;6;2;6;8;7;8;6;5;8;8;3;5;0;0,0241;0,012;0,012;0,0241;0,0482;0,012;0,00;0,0723;0,0241;0,0723;0,0964;0,0843;0,0964;0,0723;0,0602;0,0964;0,0964;0,0361;0,0602;0,00
D22;Melanozytennävus;28;2,4643;2,0454;3;0;0;5;3;1;1;2;0;1;1;1;1;3;1;1;2;1;1;0;0,1071;0,00;0,00;0,1786;0,1071;0,0357;0,0357;0,0714;0,00;0,0357;0,0357;0,0357;0,0357;0,1071;0,0357;0,0357;0,0714;0,0357;0,0357;0,00
D23;Sonstige gutartige Neubildungen der Haut;223;1,9641;2,0354;1;1;4;4;4;4;5;8;10;6;14;15;19;11;19;22;29;29;14;4;0,0045;0,0045;0,0179;0,0179;0,0179;0,0179;0,0224;0,0359;0,0448;0,0269;0,0628;0,0673;0,0852;0,0493;0,0852;0,0987;0,13;0,13;0,0628;0,0179
D24;Gutartige Neubildung der Brustdrüse [Mamma];760;1,9526;1,2957;0;0;0;2;46;82;52;41;52;99;113;91;31;35;34;32;33;14;3;0;0,00;0,00;0,00;0,0026;0,0605;0,1079;0,0684;0,0539;0,0684;0,1303;0,1487;0,1197;0,0408;0,0461;0,0447;0,0421;0,0434;0,0184;0,0039;0,00
D25;Leiomyom des Uterus;6518;4,9977;2,3407;0;0;0;0;0;16;88;317;713;1491;2187;1095;297;124;79;64;32;12;2;1;0,00;0,00;0,00;0,00;0,00;0,0025;0,0135;0,0486;0,1094;0,2288;0,3355;0,168;0,0456;0,019;0,0121;0,0098;0,0049;0,0018;0,0003;0,0002
D26;Sonstige gutartige Neubildungen des Uterus;22;3,0909;3,1609;0;0;0;0;0;0;2;1;2;4;4;4;1;1;1;1;1;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,0909;0,0455;0,0909;0,1818;0,1818;0,1818;0,0455;0,0455;0,0455;0,0455;0,0455;0,00;0,00;0,00
D27;Gutartige Neubildung des Ovars;1458;3,2551;2,2336;0;0;0;6;47;62;102;117;115;119;177;196;142;140;93;76;49;14;3;0;0,00;0,00;0,00;0,0041;0,0322;0,0425;0,07;0,0802;0,0789;0,0816;0,1214;0,1344;0,0974;0,096;0,0638;0,0521;0,0336;0,0096;0,0021;0,00
D28;Gutartige Neubildung sonstiger und nicht näher bezeichneter weiblicher Genitalorgane;90;2,7444;2,107;0;0;0;0;2;4;4;5;6;13;9;15;4;2;9;7;4;4;2;0;0,00;0,00;0,00;0,00;0,0222;0,0444;0,0444;0,0556;0,0667;0,1444;0,10;0,1667;0,0444;0,0222;0,10;0,0778;0,0444;0,0444;0,0222;0,00
D29;Gutartige Neubildung der männlichen Genitalorgane;475;4,7389;3,0076;0;0;0;1;4;4;12;6;5;12;14;22;29;57;58;96;102;35;17;1;0,00;0,00;0,00;0,0021;0,0084;0,0084;0,0253;0,0126;0,0105;0,0253;0,0295;0,0463;0,0611;0,12;0,1221;0,2021;0,2147;0,0737;0,0358;0,0021
D30;Gutartige Neubildung der Harnorgane;469;4,2836;2,9247;0;0;1;0;2;1;1;2;8;7;25;48;48;52;47;88;79;39;14;7;0,00;0,00;0,0021;0,00;0,0043;0,0021;0,0021;0,0043;0,0171;0,0149;0,0533;0,1023;0,1023;0,1109;0,1002;0,1876;0,1684;0,0832;0,0299;0,0149
D31;Gutartige Neubildung des Auges und der Augenanhangsgebilde;23;1,4783;0,7903;1;1;0;1;1;2;0;1;1;0;1;1;1;3;1;3;4;1;0;0;0,0435;0,0435;0,00;0,0435;0,0435;0,087;0,00;0,0435;0,0435;0,00;0,0435;0,0435;0,0435;0,1304;0,0435;0,1304;0,1739;0,0435;0,00;0,00
D32;Gutartige Neubildung der Meningen;31;12,129;7,5088;0;0;0;0;0;0;0;0;1;1;4;3;1;7;3;4;1;4;2;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0323;0,0323;0,129;0,0968;0,0323;0,2258;0,0968;0,129;0,0323;0,129;0,0645;0,00
D33;Gutartige Neubildung des Gehirns und anderer Teile des Zentralnervensystems;13;9,8462;10,1886;0;0;0;0;1;1;0;1;1;1;1;1;3;1;1;0;1;0;0;0;0,00;0,00;0,00;0,00;0,0769;0,0769;0,00;0,0769;0,0769;0,0769;0,0769;0,0769;0,2308;0,0769;0,0769;0,00;0,0769;0,00;0,00;0,00
D34;Gutartige Neubildung der Schilddrüse;156;3,8718;2,382;0;0;0;0;0;0;5;0;5;11;11;18;18;18;28;17;17;7;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,0321;0,00;0,0321;0,0705;0,0705;0,1154;0,1154;0,1154;0,1795;0,109;0,109;0,0449;0,0064;0,00
D35;Gutartige Neubildung sonstiger und nicht näher bezeichneter endokriner Drüsen;24;5,6667;4,5747;0;0;0;0;0;0;0;0;0;0;2;6;2;2;6;4;2;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0833;0,25;0,0833;0,0833;0,25;0,1667;0,0833;0,00;0,00;0,00
D36;Gutartige Neubildung an sonstigen und nicht näher bezeichneten Lokalisationen;136;2,625;2,7887;1;0;1;3;8;11;9;10;7;10;15;8;13;17;6;7;5;4;1;0;0,0074;0,00;0,0074;0,0221;0,0588;0,0809;0,0662;0,0735;0,0515;0,0735;0,1103;0,0588;0,0956;0,125;0,0441;0,0515;0,0368;0,0294;0,0074;0,00
D37;Neubildung unsicheren oder unbekannten Verhaltens der Mundhöhle und der Verdauungsorgane;430;2,8465;2,816;0;1;1;1;6;6;7;14;9;17;25;54;50;52;39;46;57;27;14;4;0,00;0,0023;0,0023;0,0023;0,014;0,014;0,0163;0,0326;0,0209;0,0395;0,0581;0,1256;0,1163;0,1209;0,0907;0,107;0,1326;0,0628;0,0326;0,0093
D38;Neubildung unsicheren oder unbekannten Verhaltens des Mittelohres, der Atmungsorgane und der intrathorakalen Organe;298;2,1678;2,5237;0;0;0;0;0;2;5;4;14;17;28;30;35;32;40;40;27;15;8;1;0,00;0,00;0,00;0,00;0,00;0,0067;0,0168;0,0134;0,047;0,057;0,094;0,1007;0,1174;0,1074;0,1342;0,1342;0,0906;0,0503;0,0268;0,0034
D39;Neubildung unsicheren oder unbekannten Verhaltens der weiblichen Genitalorgane;172;3,1628;2,624;0;0;0;0;1;2;6;8;14;17;20;18;23;13;12;14;9;6;7;2;0,00;0,00;0,00;0,00;0,0058;0,0116;0,0349;0,0465;0,0814;0,0988;0,1163;0,1047;0,1337;0,0756;0,0698;0,0814;0,0523;0,0349;0,0407;0,0116
D40;Neubildung unsicheren oder unbekannten Verhaltens der männlichen Genitalorgane;308;2,4708;2,5259;0;0;0;0;1;3;1;5;7;6;15;16;40;41;37;61;36;28;9;2;0,00;0,00;0,00;0,00;0,0032;0,0097;0,0032;0,0162;0,0227;0,0195;0,0487;0,0519;0,1299;0,1331;0,1201;0,1981;0,1169;0,0909;0,0292;0,0065
D41;Neubildung unsicheren oder unbekannten Verhaltens der Harnorgane;711;3,2011;2,2872;0;0;0;0;2;2;2;3;7;18;40;52;55;74;86;107;140;68;42;13;0,00;0,00;0,00;0,00;0,0028;0,0028;0,0028;0,0042;0,0098;0,0253;0,0563;0,0731;0,0774;0,1041;0,121;0,1505;0,1969;0,0956;0,0591;0,0183
D42;Neubildung unsicheren oder unbekannten Verhaltens der Meningen;2;8,00;9,8995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
D43;Neubildung unsicheren oder unbekannten Verhaltens des Gehirns und des Zentralnervensystems;11;7,8182;7,1529;0;0;0;0;0;0;0;0;1;0;1;0;3;3;0;1;0;1;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0909;0,00;0,0909;0,00;0,2727;0,2727;0,00;0,0909;0,00;0,0909;0,0909;0,00
D44;Neubildung unsicheren oder unbekannten Verhaltens der endokrinen Drüsen;8;4,125;3,2705;0;0;0;0;0;0;2;0;0;2;0;1;0;1;1;0;1;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,00;0,00;0,25;0,00;0,125;0,00;0,125;0,125;0,00;0,125;0,00;0,00;0,00
D45;Polycythaemia vera;23;9,5217;7,7217;0;0;0;0;0;0;0;1;0;0;1;0;2;3;1;4;1;4;6;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0435;0,00;0,00;0,0435;0,00;0,087;0,1304;0,0435;0,1739;0,0435;0,1739;0,2609;0,00
D46;Myelodysplastische Syndrome;272;5,5919;6,1343;0;0;0;0;0;0;0;0;0;0;1;0;1;3;6;33;78;82;37;31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0037;0,00;0,0037;0,011;0,0221;0,1213;0,2868;0,3015;0,136;0,114
D47;Sonstige Neubildungen unsicheren oder unbekannten Verhaltens des lymphatischen, blutbildenden und verwandten Gewebes;136;5,1691;6,9757;0;0;0;0;2;2;2;0;3;0;4;2;5;6;11;45;20;16;13;5;0,00;0,00;0,00;0,00;0,0147;0,0147;0,0147;0,00;0,0221;0,00;0,0294;0,0147;0,0368;0,0441;0,0809;0,3309;0,1471;0,1176;0,0956;0,0368
D48;Neubildung unsicheren oder unbekannten Verhaltens an sonstigen und nicht näher bezeichneten Lokalisationen;343;2,4111;2,2498;0;2;0;4;6;5;10;7;9;23;30;33;24;30;51;38;35;17;13;6;0,00;0,0058;0,00;0,0117;0,0175;0,0146;0,0292;0,0204;0,0262;0,0671;0,0875;0,0962;0,07;0,0875;0,1487;0,1108;0,102;0,0496;0,0379;0,0175
